isn_vinculo;num_ano;num_mes;8;15;54;86;199;324;1232;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
297565;2010;2;1231.3;123.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20667238624367812;1;0.056205038394057105;0
297565;2010;3;1231.3;123.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20667238624367812;1;0.056205038394057105;0
297565;2010;4;1231.3;123.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20667238624367812;1;0.056205038394057105;0
297565;2010;5;1292.86;129.29;0.0;984.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.03881416725595799;1;0.00022224352627009392;0
297565;2010;6;1292.86;129.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20282941054399312;1;0.06543327845777203;0
297565;2010;7;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21428696993573587;1;0.0735789316263693;0
297565;2010;8;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21428696993573587;1;0.0735789316263693;0
297565;2010;9;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21428696993573587;1;0.0735789316263693;0
297565;2010;10;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21428696993573587;1;0.0735789316263693;0
297565;2010;11;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21428696993573587;1;0.0735789316263693;0
297565;2010;12;1355.43;135.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2280707057917999;1;0.011172968874179512;0
297565;2011;1;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;2;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;3;1423.2;142.32;521.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05008884624320464;1;0.038749527571065534;0
297565;2011;4;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;5;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;6;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2574528023505226;1;0.010280451971348636;0
297565;2011;7;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;8;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;9;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2011;10;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2574528023505226;1;0.010280451971348636;0
297565;2011;11;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2574528023505226;1;0.010280451971348636;0
297565;2011;12;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22199780183944473;1;0.08108174904971666;0
297565;2012;1;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2050549428539204;1;0.089759765518715;0
297565;2012;2;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2050549428539204;1;0.089759765518715;0
297565;2012;3;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2219090818782425;1;0.008545819851230319;0
297565;2012;4;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2050549428539204;1;0.089759765518715;0
297565;2012;5;1678.94;167.89;0.0;1644.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.022413166363717152;-1;-0.00011866517488656747;1
297565;2012;6;1678.94;167.89;0.0;1644.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.022413166363717152;-1;-0.00011866517488656747;1
297565;2012;7;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22176507021145003;1;0.09820983869518751;0
297565;2012;8;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22176507021145003;1;0.09820983869518751;0
297565;2012;9;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22176507021145003;1;0.09820983869518751;0
297565;2012;10;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22176507021145003;1;0.09820983869518751;0
297565;2012;11;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22176507021145003;1;0.09820983869518751;0
297565;2012;12;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20337393790774555;1;0.006477518500390855;0
297565;2013;1;1772.62;177.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22294664070156311;1;0.10047600551009783;0
297565;2013;2;1861.24;186.12;0.0;97.48;923.23;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.03795796133891283;1;2.4592936009981692e-05;1
297565;2013;3;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;4;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;5;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;6;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;7;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23140174528608648;1;0.007078211295979908;0
297565;2013;8;1861.24;186.12;0.0;0.0;0.0;41.28;0.0;0.0;0.0;0.0;0.0;1;0.02731209459255568;-1;-3.781471116903745e-06;1
297565;2013;9;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23140174528608648;1;0.007078211295979908;0
297565;2013;10;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;11;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2013;12;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23834901149679555;1;0.10074461109269428;0
297565;2014;1;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;2;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;3;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;4;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;5;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;6;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;7;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;8;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;9;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22616618279351636;1;0.008924706401497784;0
297565;2014;10;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23935417210151555;1;0.09863189003764761;0
297565;2014;11;1967.33;196.73;721.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0932901316510138;1;0.019518872258905473;0
297565;2014;12;1967.33;196.73;721.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0932901316510138;1;0.019518872258905473;0
297565;2015;1;2094.22;209.42;0.0;0.0;0.0;0.0;46.53;0.0;0.0;0.0;0.0;1;0.0053827412509591666;-1;-3.624503134747048e-05;1
297565;2015;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;4;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;5;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;6;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;7;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;8;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2015;9;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;10;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2015;11;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2015;12;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;1;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2016;4;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2016;5;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;6;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;7;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;8;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2016;9;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2016;10;2094.22;209.42;767.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07705392643839126;1;0.00033853725752197583;0
297565;2016;11;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2016;12;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2854644672150701;1;0.011620035755078528;0
297565;2017;1;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2017;2;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2017;3;2094.22;209.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2451063981086954;1;0.09241233122449677;0
297565;2017;4;2136.1;213.61;0.0;0.0;0.0;0.0;0.0;23.5;92.15;46.07;0.0;-1;-0.15655816018189372;1;9.438924982885233e-05;1
297565;2017;5;2136.1;213.61;0.0;0.0;0.0;0.0;0.0;23.5;0.0;0.0;0.0;1;0.1851094633160726;1;0.13061768169921095;0
297565;2017;6;2242.92;224.29;0.0;235.0;0.0;0.0;0.0;27.02;0.0;0.0;0.0;1;0.13091074551988863;1;0.15207994576262174;0
297565;2017;7;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.20338253843968862;1;0.12666245325440084;0
297565;2017;8;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.20338253843968862;1;0.12666245325440084;0
297565;2017;9;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.20338253843968862;1;0.12666245325440084;0
297565;2017;10;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.20338253843968862;1;0.12666245325440084;0
297565;2017;11;2242.92;224.29;822.4;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.0315676589856424;1;0.05458529112901944;0
297565;2017;12;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;24.67;0.0;0.0;0.0;1;0.20338253843968862;1;0.12666245325440084;0
297565;2018;1;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;49.34;0.0;0.0;24.67;1;0.019555818548778747;1;0.0002798162443410357;0
297565;2018;2;2242.92;224.29;0.0;0.0;0.0;0.0;0.0;49.34;0.0;0.0;0.0;1;0.16215260147423283;1;0.1058410108965514;0
297565;2018;3;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.1405136577162519;1;0.04071540666969198;0
297565;2018;4;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.15837629707391343;1;0.10290951911304635;0
297565;2018;5;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.15837629707391343;1;0.10290951911304635;0
297565;2018;6;2310.21;231.02;0.0;0.0;0.0;0.0;0.0;50.82;0.0;0.0;0.0;1;0.1405136577162519;1;0.04071540666969198;0
297565;2018;7;2425.7;242.57;0.0;381.12;0.0;0.0;0.0;60.99;0.0;0.0;0.0;1;0.06207751665562122;1;0.1340943398378447;0
297565;2018;8;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.18551645493020635;1;0.03945217644778004;0
297565;2018;9;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.16310692981522823;1;0.09319394170387985;0
297565;2018;10;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.18551645493020635;1;0.03945217644778004;0
297565;2018;11;2425.7;242.57;889.42;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;-1;-0.010518461022785863;1;0.00016340991615249045;1
297565;2018;12;2425.7;242.57;889.42;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;-1;-0.0040543136012858305;1;0.06138641716029902;1
297565;2019;1;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.16310692981522823;1;0.09319394170387985;0
297565;2019;2;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;26.68;-1;-0.030690572914429337;1;2.4976424889744386e-05;1
297565;2019;3;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.06353150405141506;-1;-0.0004962386267494678;1
297565;2019;4;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.14807303279486744;1;0.019649861878653363;0
297565;2019;5;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.14807303279486744;1;0.019649861878653363;0
297565;2019;6;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.14807303279486744;1;0.019649861878653363;0
297565;2019;7;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.14807303279486744;1;0.019649861878653363;0
297565;2019;8;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.14807303279486744;1;0.019649861878653363;0
297565;2019;9;2546.99;254.7;0.0;667.09;0.0;0.0;0.0;104.06;0.0;0.0;0.0;-1;-0.04824496460690508;-1;-0.0002914296931845195;2
297565;2019;10;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;1;0.10041421955779928;-1;-0.0003611796060472017;1
297565;2019;11;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;1;0.10041421955779928;-1;-0.0003611796060472017;1
297565;2019;12;2546.99;254.7;933.9;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;-1;-0.05989401517852666;-1;-0.00019959082912712756;2
297565;2020;1;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20488885527200784;1;0.030471723317475052;0
297565;2020;2;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20488885527200784;1;0.030471723317475052;0
297565;2020;3;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20488885527200784;1;0.030471723317475052;0
