isn_vinculo;num_ano;num_mes;8;15;18;39;97;140;160;165;207;1454;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
173063;2010;4;0.0;215.67;246.48;512.05;0.0;0.0;0.0;447.78;616.19;0.0;1;0.18418929509488968;1;0.13335111387629484;0
173063;2010;5;0.0;215.67;246.48;512.05;0.0;0.0;0.0;447.78;616.19;0.0;1;0.18418929509488968;1;0.13335111387629484;0
173063;2010;6;0.0;215.67;246.48;512.05;0.0;0.0;0.0;447.78;616.19;0.0;1;0.18418929509488968;1;0.13335111387629484;0
173063;2010;7;0.0;226.1;258.4;536.83;0.0;0.01;0.0;469.45;646.01;0.0;-1;-0.0594627715965077;-1;-0.8957558620358319;2
173063;2010;8;0.0;226.1;258.4;536.83;0.0;0.0;0.0;469.45;646.01;0.0;1;0.1506386424366996;1;0.16090857025969685;0
173063;2010;9;0.0;226.1;258.4;536.83;0.0;0.0;0.0;469.45;646.01;0.0;1;0.1506386424366996;1;0.16090857025969685;0
173063;2010;10;0.0;226.1;258.4;536.83;0.0;0.0;0.0;469.45;646.01;0.0;1;0.1506386424366996;1;0.16090857025969685;0
173063;2010;11;0.0;226.1;258.4;536.83;0.0;0.0;0.0;469.45;646.01;0.0;1;0.1506386424366996;1;0.16090857025969685;0
173063;2010;12;0.0;226.1;258.4;536.83;0.0;0.0;0.0;469.45;646.01;0.0;1;0.07871816878507387;1;0.028315615899425328;0
173063;2011;1;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;2;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;3;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;4;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;5;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;6;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.09703762702754837;1;0.032770818724965456;0
173063;2011;7;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;8;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;9;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;10;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2011;11;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.09703762702754837;1;0.032770818724965456;0
173063;2011;12;0.0;237.41;271.32;563.67;0.0;0.0;0.0;492.92;678.31;0.0;1;0.17435442017308617;1;0.1783945576646495;0
173063;2012;1;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;2;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;3;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;4;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;5;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;6;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;7;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;8;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.08446779471160026;1;0.034115914749473286;0
173063;2012;9;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;10;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;11;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.16606901786953865;1;0.17861096858543934;0
173063;2012;12;0.0;254.03;290.32;603.13;0.0;0.0;0.0;527.42;725.79;0.0;1;0.08446779471160026;1;0.034115914749473286;0
173063;2013;1;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;2;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;3;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;4;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;5;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;6;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.05561942089028471;1;0.03000032907303196;0
173063;2013;7;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;8;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;9;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;10;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;11;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.153194008419206;1;0.1534233950885091;0
173063;2013;12;0.0;268.2;306.52;636.78;0.0;0.0;0.0;556.85;766.29;0.0;1;0.05561942089028471;1;0.03000032907303196;0
173063;2014;1;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;2;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;3;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;4;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;5;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;6;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;7;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;8;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;9;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;10;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;11;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2014;12;0.0;283.49;323.99;673.08;0.0;0.0;0.0;588.59;809.97;0.0;1;0.14291716987483927;1;0.09958506660029376;0
173063;2015;1;0.0;301.77;344.88;716.49;0.0;0.0;0.0;626.55;862.21;0.0;1;0.08213351274328928;1;0.0001908078433505711;0
173063;2015;2;0.0;301.77;344.88;716.49;0.0;0.0;0.0;626.55;862.21;0.0;1;0.08213351274328928;1;0.0001908078433505711;0
173063;2015;3;0.0;301.77;344.88;716.49;0.0;0.0;0.0;626.55;862.21;0.0;1;0.0043874827210023115;1;7.89358295247844e-05;0
173063;2015;4;0.0;301.77;344.88;716.49;0.0;0.0;0.0;626.55;862.21;0.0;1;0.08213351274328928;1;0.0001908078433505711;0
