isn_vinculo;num_ano;num_mes;8;15;39;41;54;70;97;140;188;207;324;1236;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
266665;2007;3;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.07082627513088674;1;0.22138170314477268;0
266665;2007;4;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.07082627513088674;1;0.22138170314477268;0
266665;2007;5;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.06882417320921586;1;0.09166476315234395;0
266665;2007;6;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.06882417320921586;1;0.09166476315234395;0
266665;2007;7;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2007;8;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;203.92;0.0;0.0;0.0;-1;-0.013088622631769242;1;0.09884253202035964;1
266665;2007;9;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2007;10;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2007;11;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2007;12;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2008;1;4145.69;829.14;0.0;829.14;2031.56;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;-1;-0.04158975656126618;-1;-0.0003779255470441889;2
266665;2008;2;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2008;3;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.07902183085928316;1;0.09872192326473095;0
266665;2008;4;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2008;5;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2008;6;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.08145790799556701;1;0.23713557373707195;0
266665;2008;7;4399.82;879.96;0.0;879.96;2156.09;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;-1;-0.036533150821559945;-1;-0.29577943941706186;2
266665;2008;8;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;213.42;0.0;0.0;0.0;-1;-0.005593778552444473;1;0.17432289140187596;1
266665;2008;9;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2008;10;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2008;11;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2008;12;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2009;1;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2009;2;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.0954493744075312;1;0.10532508136045426;0
266665;2009;3;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2009;4;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.0954493744075312;1;0.10532508136045426;0
266665;2009;5;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2009;6;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08914976307310957;1;0.2510755740466517;0
266665;2009;7;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2009;8;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;222.96;0.0;0.0;0.0;-1;-0.015598034560984408;1;0.20640165907417396;1
266665;2009;9;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.09476608018089577;1;0.10382256197014117;0
266665;2009;10;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.09476608018089577;1;0.10382256197014117;0
266665;2009;11;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2009;12;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;1;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;2;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;3;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;4;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;5;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.08309377190576278;1;0.24594800905980785;0
266665;2010;6;4663.81;932.76;0.0;932.76;0.0;0.0;0.0;0.0;327.04;0.0;0.0;0.0;0.0;0.0;1;0.09476608018089577;1;0.10382256197014117;0
266665;2010;7;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;0.0;0.0;0.0;0.0;1;0.07165015814069614;1;0.22562049588722122;0
266665;2010;8;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;230.48;0.0;0.0;0.0;-1;-0.024573826870420312;1;0.19345751618185147;1
266665;2010;9;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;0.0;0.0;0.0;0.0;1;0.07165015814069614;1;0.22562049588722122;0
266665;2010;10;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;0.0;0.0;0.0;0.0;1;0.07165015814069614;1;0.22562049588722122;0
266665;2010;11;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;0.0;0.0;0.0;0.0;1;0.07922497183215793;1;0.09568100747369934;0
266665;2010;12;4889.54;977.91;0.0;977.91;0.0;0.0;0.0;0.0;342.87;0.0;0.0;0.0;0.0;0.0;1;0.07165015814069614;1;0.22562049588722122;0
266665;2011;1;5134.02;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;0.0;0.0;0.0;0.0;0.0;1;0.06311917246726256;1;0.1871804778208399;0
266665;2011;2;5134.02;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;0.0;0.0;0.0;0.0;0.0;1;0.06311917246726256;1;0.1871804778208399;0
266665;2011;3;5134.02;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;0.0;0.0;0.0;0.0;0.0;1;0.06311917246726256;1;0.1871804778208399;0
266665;2011;4;5134.02;1026.8;0.0;1026.8;0.0;0.0;36.76;0.0;360.01;0.0;0.0;0.0;0.0;0.0;-1;-0.057960344886016646;1;0.07276957902518633;1
266665;2011;5;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.11702144876713677;1;0.36464330546832313;0
266665;2011;6;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.11702144876713677;1;0.36464330546832313;0
266665;2011;7;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.11702144876713677;1;0.36464330546832313;0
266665;2011;8;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;236.04;0.0;0.0;0.0;1;0.019449030122658084;-1;-0.43966106604649724;1
266665;2011;9;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.10301300358702875;1;0.14863648072394864;0
266665;2011;10;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.10301300358702875;1;0.14863648072394864;0
266665;2011;11;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.11702144876713677;1;0.36464330546832313;0
266665;2011;12;0.0;1026.8;0.0;1026.8;0.0;0.0;0.0;0.0;360.01;5134.02;0.0;0.0;0.0;0.0;1;0.11702144876713677;1;0.36464330546832313;0
266665;2012;1;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.09290088760780618;1;0.04321709762929116;0
266665;2012;2;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.09290088760780618;1;0.04321709762929116;0
266665;2012;3;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2012;4;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2012;5;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2012;6;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.09290088760780618;1;0.04321709762929116;0
266665;2012;7;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2012;8;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;238.88;0.0;0.0;0.0;-1;-0.04848717020264803;1;3.090618504852927e-05;1
266665;2012;9;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.09290088760780618;1;0.04321709762929116;0
266665;2012;10;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.09290088760780618;1;0.04321709762929116;0
266665;2012;11;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2012;12;5493.4;1098.68;0.0;1098.68;0.0;0.0;0.0;0.0;385.21;0.0;0.0;0.0;0.0;0.0;1;0.046290305582143976;1;0.10054828525902293;0
266665;2013;1;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.060962871775401495;1;0.00033300388614332377;0
266665;2013;2;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.022277959748903564;-1;-0.00018329641461267698;1
266665;2013;3;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.060962871775401495;1;0.00033300388614332377;0
266665;2013;4;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.022277959748903564;-1;-0.00018329641461267698;1
266665;2013;5;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.022277959748903564;-1;-0.00018329641461267698;1
266665;2013;6;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.022277959748903564;-1;-0.00018329641461267698;1
266665;2013;7;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.060962871775401495;1;0.00033300388614332377;0
266665;2013;8;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;213.72;0.0;0.0;0.0;-1;-0.05895494852868266;-1;-0.24485860051768116;2
266665;2013;9;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.060962871775401495;1;0.00033300388614332377;0
266665;2013;10;5799.93;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;0.0;0.0;0.0;0.0;0.0;1;0.022277959748903564;-1;-0.00018329641461267698;1
266665;2013;11;0.0;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;5799.93;0.0;0.0;0.0;0.0;1;0.1303084406367237;1;0.39227271888076043;0
266665;2013;12;0.0;1159.99;0.0;1159.99;0.0;0.0;0.0;0.0;406.7;5799.93;0.0;0.0;0.0;0.0;1;0.1303084406367237;1;0.39227271888076043;0
266665;2014;1;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;2;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1293995597091811;1;0.16974488925613462;0
266665;2014;3;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;4;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;5;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1293995597091811;1;0.16974488925613462;0
266665;2014;6;0.0;1226.11;0.0;1226.11;0.0;613.06;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;-1;-0.004829420791835681;-1;-0.9691974250713478;2
266665;2014;7;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1293995597091811;1;0.16974488925613462;0
266665;2014;8;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;9;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;10;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;11;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2014;12;0.0;1226.11;0.0;1226.11;0.0;0.0;0.0;0.0;429.88;6130.53;0.0;0.0;0.0;0.0;1;0.1342146729630999;1;0.3799394262859308;0
266665;2015;1;0.0;1305.19;0.0;1305.19;0.0;0.0;0.0;0.0;457.61;6525.95;0.0;0.0;0.0;0.0;1;0.15090528120431135;1;0.343078610396216;0
266665;2015;2;0.0;1305.19;0.0;1305.19;0.0;0.0;0.0;0.0;457.61;6525.95;0.0;0.0;0.0;0.0;1;0.15090528120431135;1;0.343078610396216;0
266665;2015;3;0.0;1305.19;0.0;1305.19;0.0;0.0;0.0;0.0;457.61;6525.95;0.0;0.0;0.0;0.0;1;0.16088101678568223;1;0.16283309163003135;0
266665;2015;4;0.0;1305.19;0.0;1305.19;0.0;0.0;0.0;0.0;457.61;6525.95;0.0;0.0;0.0;0.0;1;0.15090528120431135;1;0.343078610396216;0
