isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
11699;2011;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1;0.20862166877607707;1;0.5298949790653413;0
11699;2011;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1;0.2038302011043036;1;1.4515259706866743;0
11699;2011;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1;0.2038302011043036;1;1.4515259706866743;0
11699;2011;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1;0.2038302011043036;1;1.4515259706866743;0
12198;2008;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;1138.52;0.0;0.0;0.0;1;0.05940519499187896;1;0.6140553614018067;0
12198;2008;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2008;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2009;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2009;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2009;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2009;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.22631228363843675;1;0.2571340369560584;0
12198;2009;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.22631228363843675;1;0.2571340369560584;0
12198;2009;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1;0.2233223358869041;1;0.8179459379281582;0
12198;2009;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2009;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.22674883678940183;1;0.2724968405180199;0
12198;2009;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2009;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2009;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2009;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1;0.2225970801850652;1;0.8620386389441848;0
12198;2010;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1;0.2233517713158773;1;0.8985038948628912;0
12198;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1;0.2233517713158773;1;0.8985038948628912;0
12198;2010;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1;0.2233517713158773;1;0.8985038948628912;0
12198;2010;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1;0.22658795190404024;1;0.28539122554255414;0
12901;2010;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;408.0;1739.1;0.0;0.0;0.0;1;0.03584025909205635;-1;-0.13648359974656188;1
12901;2010;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;408.0;0.0;0.0;0.0;0.0;1;0.22152120194251695;1;0.09657565966032422;0
12901;2011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.22133732723008637;1;0.34380735037535004;0
12901;2011;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.2208825966485522;1;0.10322456310696992;0
12901;2011;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.22133732723008637;1;0.34380735037535004;0
12901;2011;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.22133732723008637;1;0.34380735037535004;0
12901;2011;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.22133732723008637;1;0.34380735037535004;0
12901;2011;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;428.4;0.0;0.0;0.0;0.0;1;0.2208825966485522;1;0.10322456310696992;0
14091;2012;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;2036.83;0.0;0.0;0.0;1;0.011829031985434613;1;0.35335080477086045;0
14091;2012;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1;0.21015059600127556;1;1.4076238525827094;0
14091;2012;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1;0.21015059600127556;1;1.4076238525827094;0
14091;2012;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1;0.21015059600127556;1;1.4076238525827094;0
14091;2012;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2036.83;0.0;0.0;0.0;0.0;1;0.21015059600127556;1;1.4076238525827094;0
14097;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21217908118257917;1;1.325903645237588;0
14097;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21217908118257917;1;1.325903645237588;0
14097;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21217908118257917;1;1.325903645237588;0
14097;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21217908118257917;1;1.325903645237588;0
14097;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.2136006188183605;1;0.4709512663832651;0
14097;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.2136006188183605;1;0.4709512663832651;0
14097;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2007;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.2136006188183605;1;0.4709512663832651;0
14097;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2008;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2008;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.21187238751534443;1;1.3504451103913055;0
14097;2008;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.2136006188183605;1;0.4709512663832651;0
14184;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.21758051041839382;1;1.059468304208906;0
14184;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.222293433155827;1;0.3448171516930252;0
14184;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.21758051041839382;1;1.059468304208906;0
14184;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.21758051041839382;1;1.059468304208906;0
14184;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1327.15;0.0;0.0;0.0;0.0;1;0.21970820592755347;1;0.35574825301694446;0
14990;2009;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;448.0;0.0;0.0;0.0;1;0.14868080615736512;1;1.844895253253469;0
14990;2009;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22136174369656914;1;0.10957360262301918;0
14990;2009;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2009;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2009;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2010;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2010;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22136174369656914;1;0.10957360262301918;0
14990;2010;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2010;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22136174369656914;1;0.10957360262301918;0
14990;2010;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2010;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1;0.22241454842925334;1;0.3643636362297329;0
14990;2010;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.22350285838994166;1;0.3868700485429599;0
14990;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.2217918516804125;1;0.11655180824783962;0
14990;2010;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.2217918516804125;1;0.11655180824783962;0
14990;2010;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.22350285838994166;1;0.3868700485429599;0
14990;2010;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.2217918516804125;1;0.11655180824783962;0
14990;2010;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1;0.22350285838994166;1;0.3868700485429599;0
14990;2011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;493.16;0.0;0.0;0.0;0.0;1;0.22380492599482743;1;0.41097141414110183;0
