isn_vinculo;num_ano;num_mes;8;10;11;15;19;21;39;51;52;54;86;94;97;102;140;165;207;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
174232;2007;3;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;1;0.020550146293541238;1;0.35668688900709533;0
174232;2007;4;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;1;0.020550146293541238;1;0.35668688900709533;0
174232;2007;5;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;1;0.052967293845480046;1;0.10375890514257136;0
174232;2007;6;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;1;0.020550146293541238;1;0.35668688900709533;0
174232;2007;7;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2007;8;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2007;9;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.09050887999680662;1;0.10234783961222171;0
174232;2007;10;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2007;11;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2007;12;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
