isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
147818;2007;3;0.0;525.0;0.0;0.0;1890.0;0.0;1;0.062005692997941564;1;6.698342325639484e-05;0
147818;2007;4;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;5;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;6;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;7;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;8;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;9;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;10;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;11;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2007;12;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.12798408093758573;1;0.015415909422312635;0
147818;2008;1;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2008;2;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.175573302478301;1;0.05295300348305654;0
147818;2008;3;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;4;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;5;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;6;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.18446142851619002;1;0.03076231178012967;0
147818;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.18446142851619002;1;0.03076231178012967;0
147818;2008;9;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;10;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.18446142851619002;1;0.03076231178012967;0
147818;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.177694633510589;1;0.1065693811612829;0
147818;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.18446142851619002;1;0.03076231178012967;0
147818;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.1840404946395;1;0.048086739433895076;0
147818;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.1840404946395;1;0.048086739433895076;0
147818;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.1840404946395;1;0.048086739433895076;0
147818;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.1840404946395;1;0.048086739433895076;0
147818;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.18537575496416298;1;0.16819947544762215;0
147818;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.1840404946395;1;0.048086739433895076;0
147818;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17931899924202682;1;0.20941856450021978;0
147818;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17931899924202682;1;0.20941856450021978;0
147818;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.17931899924202682;1;0.20941856450021978;0
297568;2007;3;2100.0;315.0;0.0;0.0;0.0;0.0;1;0.058590330597438234;-1;-0.00043218109472631383;1
297568;2007;4;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;5;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.07121269296229493;1;0.0004466376922857007;0
297568;2007;6;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;7;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;8;2280.0;342.0;0.0;0.0;0.0;73.72;-1;-0.07524425552509817;-1;-0.0001290667793303335;2
297568;2007;9;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;10;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;11;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2007;12;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.07121269296229493;1;0.0004466376922857007;0
297568;2008;1;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.1194643112434211;1;0.05482251455736664;0
297568;2008;2;2280.0;342.0;874.0;0.0;0.0;0.0;-1;-0.04796405042801721;-1;-0.3208128821528038;2
297568;2008;3;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.11964815109563864;1;0.11096834704449021;0
297568;2008;4;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.11964815109563864;1;0.11096834704449021;0
297568;2008;5;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.11964815109563864;1;0.11096834704449021;0
297568;2008;6;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.11964815109563864;1;0.11096834704449021;0
297568;2008;7;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.12621916755303908;1;0.14583182286618612;0
297568;2008;8;2642.64;396.4;0.0;0.0;0.0;77.16;-1;-0.1086190418802937;-1;-0.08559159818535944;2
297568;2008;9;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.12445485488312091;1;0.026382006406980074;0
297568;2008;10;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.12445485488312091;1;0.026382006406980074;0
297568;2008;11;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.12445485488312091;1;0.026382006406980074;0
297568;2008;12;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.12621916755303908;1;0.14583182286618612;0
297568;2009;1;2642.64;396.4;1013.01;0.0;0.0;0.0;-1;-0.03492025705021673;-1;-0.0618303946060168;2
297568;2009;2;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;3;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;4;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;5;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;6;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;7;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;8;2790.0;418.5;0.0;0.0;0.0;80.62;-1;-0.03190967551990487;1;0.05201433083461271;1
297568;2009;9;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;10;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;11;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14744780618392733;1;0.17447363756982037;0
297568;2009;12;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.11360420750444483;1;0.034200190545701115;0
297568;2010;1;3060.0;459.0;1173.0;0.0;0.0;0.0;-1;-0.0382739765894935;1;8.438447974068453e-05;1
297568;2010;2;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.15021498300469172;1;0.04405264888870197;0
297568;2010;3;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.15021498300469172;1;0.04405264888870197;0
297568;2010;4;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1289072124618056;1;0.21345050872022675;0
297568;2010;5;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.1289072124618056;1;0.21345050872022675;0
297568;2010;6;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.15021498300469172;1;0.04405264888870197;0
297568;2010;7;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.16260442398101566;1;0.04684993513018043;0
297568;2010;8;3208.1;481.22;0.0;0.0;0.0;83.32;-1;-0.0031903528814561932;1;0.02432910157318602;1
297568;2010;9;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.16260442398101566;1;0.04684993513018043;0
