isn_vinculo;num_ano;num_mes;8;15;21;51;54;79;86;160;161;185;199;207;312;324;371;1232;1233;1352;1367;1369;1404;1454;1455;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
320492;2007;3;406.54;40.65;0.0;0.0;152.22;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;15.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.04328005844614169;1;0.1599656897015742;0
320492;2007;4;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09975307411396045;1;0.1776759253810123;0
320492;2007;5;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09975307411396045;1;0.1776759253810123;0
320492;2007;6;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10586554662800801;1;0.06883921754153555;0
320492;2007;7;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09436746331783274;1;0.18679079359253126;0
320492;2007;8;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;380.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.01103620097099689;1;0.0002158803707450474;1
320492;2007;9;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09436746331783274;1;0.18679079359253126;0
320492;2007;10;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09436746331783274;1;0.18679079359253126;0
320492;2007;11;442.02;44.2;0.0;0.0;0.0;0.0;225.48;7.98;0.0;0.0;225.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.09672181484325021;-1;-1.0088390350881937e-05;2
320492;2007;12;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1317534491043723;1;0.07329170757703118;0
320492;2008;1;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10391000486332441;1;0.18384432691814978;0
320492;2008;2;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10391000486332441;1;0.18384432691814978;0
320492;2008;3;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10217322104134546;1;0.18259261772524615;0
320492;2008;4;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10217322104134546;1;0.18259261772524615;0
