isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
12898;2007;3;0.0;406.54;1;0.15736805326520636;1;1.6960563996222575;0
12898;2007;4;0.0;406.54;1;0.15736805326520636;1;1.6960563996222575;0
12898;2007;5;0.0;406.54;1;0.15736805326520636;1;1.6960563996222575;0
12898;2007;6;0.0;406.54;1;0.15736805326520636;1;1.6960563996222575;0
12898;2007;7;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2007;8;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2007;9;0.0;420.97;1;0.20259212105607555;1;0.4531230086739395;0
12898;2007;10;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2007;11;0.0;420.97;1;0.20259212105607555;1;0.4531230086739395;0
12898;2007;12;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2008;1;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2008;2;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2008;3;0.0;420.97;1;0.20259212105607555;1;0.4531230086739395;0
12898;2008;4;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2008;5;0.0;420.97;1;0.20259212105607555;1;0.4531230086739395;0
12898;2008;6;0.0;420.97;1;0.14996136895454693;1;1.721721798979715;0
12898;2008;7;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2008;8;0.0;446.78;1;0.19341272288165307;1;0.4634297575061552;0
12898;2008;9;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2008;10;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2008;11;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2008;12;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;1;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;2;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;3;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;4;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;5;0.0;446.78;1;0.19341272288165307;1;0.4634297575061552;0
12898;2009;6;0.0;446.78;1;0.14563523058622113;1;1.7591433759311599;0
12898;2009;7;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2009;8;0.0;473.59;1;0.19214899272519403;1;0.4709862480452287;0
12898;2009;9;0.0;473.59;1;0.19214899272519403;1;0.4709862480452287;0
12898;2009;10;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2009;11;0.0;473.59;1;0.19214899272519403;1;0.4709862480452287;0
12898;2009;12;0.0;473.59;1;0.19214899272519403;1;0.4709862480452287;0
12898;2010;1;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;2;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;3;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;4;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;5;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;6;0.0;473.59;1;0.1505763331441286;1;1.7869718842207618;0
12898;2010;7;0.0;496.51;1;0.1454287546788064;1;1.8022907350665562;0
12898;2010;8;0.0;496.51;1;0.1454287546788064;1;1.8022907350665562;0
12898;2010;9;0.0;496.51;1;0.1454287546788064;1;1.8022907350665562;0
20321;2007;3;0.0;95.21;1;0.09628478961264769;1;0.16258340477935462;0
20321;2007;4;0.0;95.21;1;0.12036079313844494;1;0.013389543634724888;0
20321;2007;5;0.0;95.21;1;0.12036079313844494;1;0.013389543634724888;0
20321;2007;6;0.0;95.21;1;0.09628478961264769;1;0.16258340477935462;0
