isn_vinculo,cod_cargo,num_ano,num_mes,100,106
127853,W005,2007,6,0.0,0.19045522902181153
175041,W005,2007,11,0.0,0.1
320454,W005,2007,3,0.0,0.12041093178028438
331355,W005,2007,12,0.0,0.25932573936465286
177356,W005,2007,7,0.0,0.13678503810348241
12898,W005,2007,12,0.0,0.15204426778639796
177065,W005,2007,9,0.0,0.1577541445821381
296999,W005,2007,6,0.0,0.13289107002302408
177065,W005,2007,7,0.0,0.1577541445821381
177356,W005,2007,8,0.0,0.13678503810348241
312118,W005,2007,4,0.0,0.12472463545186624
173352,W005,2007,5,0.0,0.13211787288148075
312118,W005,2007,5,0.0,0.12472463545186624
296999,W005,2007,12,0.0,0.1344124274462894
141000,W005,2007,5,0.0,0.10662593131391149
305944,W005,2007,3,0.0,0.19087349185647498
167243,W005,2007,9,0.0,0.6754044761978011
173352,W005,2007,3,0.0,0.13211787288148075
175043,W005,2007,12,0.0,0.11726954225092825
177065,W005,2007,5,0.0,0.15543308040104797
331390,W005,2007,5,0.0,0.11007512694342489
331390,W005,2007,11,0.0,0.11078646831364476
296999,W005,2007,9,0.0,0.1344124274462894
312125,W005,2007,11,0.0,0.13291905239576568
141000,W005,2007,9,0.0,0.1078247550724187
167321,W005,2007,10,0.0,0.1926879278152967
167243,W005,2007,11,0.4485579337183029,0.6754044761978011
167321,W005,2007,8,0.0,0.1926879278152967
305944,W005,2007,9,0.0,0.19445229005447562
331429,W005,2007,10,0.0,0.1926879278152967
141000,W005,2007,8,0.0,0.1078247550724187
175043,W005,2007,4,0.0,0.1163358146552359
167243,W005,2007,3,0.0,0.655336696672716
305944,W005,2007,10,0.0,0.19445229005447562
177065,W005,2007,6,0.0,0.15543308040104797
127853,W005,2007,3,0.37993660557368814,0.19045522902181153
73309,W005,2007,5,0.0,0.13601625923131933
73309,W005,2007,7,0.0,0.1376480733890908
175502,W005,2007,10,0.0,0.1246509976288621
264732,W005,2007,9,0.0,0.10928278396790046
167321,W005,2007,12,0.0,0.1926879278152967
331390,W005,2007,7,0.0,0.11078646831364476
312125,W005,2007,10,0.0,0.13291905239576568
175502,W005,2007,3,0.0,0.12346395592203555
296979,W005,2007,9,0.0,0.11182476161800298
320454,W005,2007,8,0.0,0.12148898950906481
218731,W005,2007,11,0.0,0.13376736011677323
12898,W005,2007,9,0.0,0.15204426778639796
312125,W005,2007,12,0.0,0.13291905239576568
167321,W005,2007,6,0.0,0.18916951263215942
