isn_vinculo,cod_cargo,num_ano,num_mes,8,13,15,18,39,207
12192,D295,2007,3,0.0,0.0,0.9454379783744381,0.10000000000000142,0.10000000000000142,0.10000000000000009
259352,D295,2007,10,0.10000000000000009,0.10000000000000009,0.09999999999999998,0.0,0.0,0.0
259352,D295,2007,8,0.10000000000000009,0.10000000000000009,0.09999999999999998,0.0,0.0,0.0
12192,D295,2007,4,0.0,0.0,0.9454379783744381,0.10000000000000142,0.10000000000000142,0.10000000000000009
12192,D295,2008,1,0.0,0.0,1.0,1.0,1.0,0.16595557122708038
259352,D295,2008,10,0.23827608786237242,0.23826097309310246,0.14231563601020525,0.0,0.0,0.0
259352,D295,2008,8,0.23827608786237242,0.23826097309310246,0.14231563601020525,0.0,0.0,0.0
12192,D295,2008,2,0.0,0.0,1.0,1.0,1.0,0.16595557122708038
259352,D295,2009,11,0.381909637478421,0.38191523136756844,0.18627141295103877,0.0,0.0,0.0
259352,D295,2009,10,0.381909637478421,0.38191523136756844,0.18627141295103877,0.0,0.0,0.0
259352,D295,2009,1,0.23827608786237242,0.23826097309310246,0.14231563601020525,0.0,0.0,0.0
259352,D295,2010,11,0.5047026608726708,0.5047106913247079,0.22388531162677683,0.0,0.0,0.0
259352,D295,2010,10,0.5047026608726708,0.5047106913247079,0.22388531162677683,0.0,0.0,0.0
259352,D295,2010,1,0.381909637478421,0.38191523136756844,0.18627141295103877,0.0,0.0,0.0
259352,D295,2011,11,0.0,0.6377212477180727,0.26456080670635407,0.0,0.0,1.0
259352,D295,2011,10,0.0,0.6377212477180727,0.26456080670635407,0.0,0.0,1.0
259352,D295,2011,1,0.6377284362164417,0.6377212477180727,0.26456080670635407,0.0,0.0,0.0
259352,D295,2012,11,0.833222215608072,0.8332367648226047,0.32437127930992593,0.0,0.0,0.0
259352,D295,2012,10,0.833222215608072,0.8332367648226047,0.32437127930992593,0.0,0.0,0.0
259352,D295,2012,1,0.833222215608072,0.8332367648226047,0.32437127930992593,0.0,0.0,0.0
259352,D295,2013,1,1.0,1.0,0.37543433361681455,0.0,0.0,0.0
259352,D295,2013,2,1.0,1.0,0.37543433361681455,0.0,0.0,0.0
