isn_vinculo,cod_cargo,num_ano,num_mes,8,15,54,79,86,199,207,324
297926,D410,2007,11,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,4,0.10000000000000009,0.09999999999999998,0.10000000000002274,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,11,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,10,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,1,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,11,0.431160497256754,0.38845735027223227,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,10,0.431160497256754,0.38845735027223227,0.0,0.0,0.09999999999990905,0.0,0.0,0.0
297926,D410,2009,1,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,11,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,10,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,1,0.431160497256754,0.38845735027223227,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,11,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,10,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,1,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,11,0.7854100979234668,0.6970598911070779,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,10,0.7854100979234668,0.6970598911070779,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,1,0.7854100979234668,0.6970598911070779,0.0,1.0,0.0,0.0,0.0,0.0
297926,D410,2013,11,0.888654767692201,0.7869509981851178,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2013,10,0.888654767692201,0.7869509981851178,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2013,1,0.888654767692201,0.7869509981851178,0.0,0.09999999999999964,0.0,0.0,0.0,0.0
297926,D410,2014,11,0.9999999999999998,0.8839745916515428,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2014,10,0.9999999999999998,0.8839745916515428,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2014,1,0.9999999999999998,0.8839745916515428,0.0,0.5096660808435862,0.0,0.0,0.0,0.0
297926,D410,2015,2,0.0,1.0,0.0,0.0,0.0,0.0,0.09999999999990905,0.0
