isn_vinculo,cod_cargo,num_ano,num_mes,8,15,97,207,1367,1369
312115,Z120*,2007,11,0.1353758589938624,0.12399444721292796,0.0,0.0,0.0,0.0
312115,Z120*,2007,4,0.09999999999999998,0.09999999999999998,0.0,0.0,0.0,0.0
312115,Z120*,2008,11,0.19862560982007016,0.16692176265394731,0.0,0.0,0.0,0.0
312115,Z120*,2008,10,0.19862560982007016,0.16692176265394731,0.0,0.0,0.0,0.0
312115,Z120*,2008,1,0.1353758589938624,0.12399444721292796,0.0,0.0,0.0,0.0
312115,Z120*,2009,11,0.2643303782195875,0.21151491421655866,0.0,0.0,0.0,0.0
312115,Z120*,2009,10,0.2643303782195875,0.21151491421655866,0.0,0.0,0.0,0.0
312115,Z120*,2009,1,0.19862560982007016,0.16692176265394731,0.0,0.0,0.0,0.0
312115,Z120*,2010,11,0.32051251114724855,0.2496369331529863,0.0,0.0,0.0,0.0
312115,Z120*,2010,10,0.32051251114724855,0.2496369331529863,0.0,0.0,0.0,0.0
312115,Z120*,2010,1,0.2643303782195875,0.21151491421655866,0.0,0.0,0.0,0.0
312115,Z120*,2011,11,0.0,0.2908984124724139,0.0,0.10000000000000009,0.0,0.0
312115,Z120*,2011,10,0.0,0.2908984124724139,0.0,0.10000000000000009,0.0,0.0
312115,Z120*,2011,1,0.3813591774641977,0.2908984124724139,0.0,0.0,0.0,0.0
312115,Z120*,2012,11,0.470806798510203,0.35160532498042285,0.0,0.0,0.0,0.0
312115,Z120*,2012,10,0.470806798510203,0.35160532498042285,0.0,0.0,0.0,0.0
312115,Z120*,2012,1,0.470806798510203,0.35160532498042285,0.0,0.0,0.0,0.0
312115,Z120*,2013,11,0.5471059119760794,0.40337438598989095,0.0,0.0,0.0,0.0
312115,Z120*,2013,10,0.5471059119760794,0.40337438598989095,0.0,0.0,0.0,0.0
312115,Z120*,2013,1,0.5471059119760794,0.40337438598989095,0.0,0.0,0.0,0.0
312115,Z120*,2014,11,0.629386770183077,0.4592119313732469,0.0,0.0,0.0,0.0
312115,Z120*,2014,10,0.629386770183077,0.4592119313732469,0.0,0.0,0.0,0.0
312115,Z120*,2014,1,0.629386770183077,0.4592119313732469,0.0,0.0,0.0,0.0
312115,Z120*,2015,11,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2015,10,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2015,1,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2016,11,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2016,10,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2016,1,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2017,11,0.760291139904527,0.5480458460881327,0.0,0.0,0.0,0.0
312115,Z120*,2017,10,0.760291139904527,0.5480458460881327,0.0,0.0,0.0,0.0
312115,Z120*,2017,1,0.7278046477469443,0.5260055527870721,0.0,0.0,0.0,0.0
312115,Z120*,2018,11,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2018,10,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2018,1,0.760291139904527,0.5480458460881327,0.0,0.0,0.0,0.0
312115,Z120*,2019,11,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2019,10,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2019,1,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2020,11,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2020,10,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2020,1,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2021,11,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2021,10,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2021,1,0.8099910822011226,0.5817469922403359,0.0,0.0,0.0,0.0
312115,Z120*,2022,11,0.0,0.8343454118317079,0.0,0.7897248701152024,0.0,0.0
312115,Z120*,2022,10,0.0,0.8343454118317079,0.0,0.7897248701152024,0.0,0.0
312115,Z120*,2022,1,0.9999999999999999,0.7106891151135474,0.0,0.0,0.0,0.0
312115,Z120*,2023,11,0.0,0.9161635936498896,0.0,0.8935572622543486,0.10000000000002274,0.0
312115,Z120*,2023,10,0.0,0.9161635936498896,0.0,0.8935572622543486,0.0,0.0
312115,Z120*,2023,1,0.0,0.8343454118317079,0.0,0.7897248701152024,0.0,0.0
312115,Z120*,2024,8,0.0,0.9999999999999999,0.0,1.0000000000000002,0.0,0.0
312115,Z120*,2024,2,0.0,0.9161635936498896,0.0,0.8935572622543486,0.0,0.0
