isn_vinculo,cod_cargo,num_ano,num_mes,15,97,207,1367,1369
296897,E210,2007,3,0.09999999999999998,0.0,0.11291215403128763,0.0,0.0
331445,E210,2007,10,0.18480993579115546,0.0,0.09999999999999998,0.0,0.0
331445,E210,2007,8,0.18480993579115546,0.0,0.09999999999999998,0.0,0.0
296897,E210,2007,4,0.09999999999999998,0.0,0.11291215403128763,0.0,0.0
296897,E210,2008,9,0.18851324872637387,0.0,0.2001524267950262,0.0,0.0
331445,E210,2008,5,0.18480993579115546,0.0,0.09999999999999998,0.0,0.0
296897,E210,2008,1,0.1317562475507189,0.0,0.14420377055756128,0.0,0.0
331445,E210,2008,7,0.24482259669007922,0.0,0.15324107501002815,0.0,0.0
296897,E210,2008,12,0.18851324872637387,0.0,0.2001524267950262,0.0,0.0
296897,E210,2009,9,0.24748138546408227,0.0,0.2582711592458885,0.0,0.0
331445,E210,2009,5,0.24482259669007922,0.0,0.15324107501002815,0.0,0.0
296897,E210,2009,1,0.18851324872637387,0.0,0.2001524267950262,0.0,0.0
331445,E210,2009,7,0.3071684803906791,0.0,0.2085479342158043,0.0,0.0
296897,E210,2009,12,0.24748138546408227,0.0,0.2582711592458885,0.0,0.0
296897,E210,2010,9,0.29788985017936276,0.0,0.30796630565583627,0.0,0.0
331445,E210,2010,5,0.3071684803906791,0.0,0.2085479342158043,0.0,0.0
296897,E210,2010,1,0.24748138546408227,0.0,0.2582711592458885,0.0,0.0
331445,E210,2010,7,0.3604799083592076,0.0,0.2558363417569195,0.0,0.0
296897,E210,2010,12,0.29788985017936276,0.0,0.30796630565583627,0.0,0.0
296897,E210,2011,9,0.3525035420371989,0.0,0.36178900922583257,0.0,0.0
331445,E210,2011,5,0.4182136074518432,0.0,0.307055756117128,0.0,0.0
296897,E210,2011,1,0.3525035420371989,0.0,0.36178900922583257,0.0,0.0
331445,E210,2011,7,0.4182136074518432,0.0,0.307055756117128,0.0,0.0
296897,E210,2011,12,0.3525035420371989,0.0,0.36178900922583257,0.0,0.0
296897,E210,2012,9,0.4327691194646248,0.0,0.44091054953870856,0.0,0.0
331445,E210,2012,5,0.5030913694872334,0.0,0.38234657039711195,0.0,0.0
296897,E210,2012,1,0.4327691194646248,0.0,0.44091054953870856,0.0,0.0
331445,E210,2012,7,0.5030913694872334,0.0,0.38234657039711195,0.0,0.0
296897,E210,2012,12,0.4327691194646248,0.0,0.44091054953870856,0.0,0.0
296897,E210,2013,9,0.5012464956440477,0.0,0.5083955074207783,0.0,0.0
331445,E210,2013,5,0.5754755373345792,0.0,0.44655836341756927,0.0,0.0
296897,E210,2013,1,0.5012464956440477,0.0,0.5083955074207783,0.0,0.0
331445,E210,2013,7,0.5754755373345792,0.1,0.44655836341756927,0.0,0.0
296897,E210,2013,12,0.5012464956440477,0.0,0.5083955074207783,0.0,0.0
296897,E210,2014,9,0.5750821451180177,0.0,0.5811793020457282,0.0,0.0
331445,E210,2014,5,0.6535571096976456,0.0,0.5158202968311273,0.0,0.0
296897,E210,2014,1,0.5750821451180177,0.0,0.5811793020457282,0.0,0.0
331445,E210,2014,7,0.6535571096976456,0.0,0.5158202968311273,0.0,0.0
296897,E210,2014,12,0.5750821451180177,0.0,0.5811793020457282,0.0,0.0
296897,E210,2015,12,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2015,10,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2015,1,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2016,11,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2016,10,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2016,1,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2017,11,0.6925572001326379,0.0,0.6969715202567187,0.0,0.0
296897,E210,2017,10,0.6925572001326379,0.0,0.6969715202567187,0.0,0.0
296897,E210,2017,1,0.663405480360534,0.0,0.6682350581628561,0.0,0.0
296897,E210,2018,11,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2018,10,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2018,1,0.6925572001326379,0.0,0.6969715202567187,0.0,0.0
296897,E210,2019,11,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2019,10,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2019,1,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2020,11,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2020,10,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2020,1,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2021,11,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2021,10,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2021,1,0.7371597383414221,0.0,0.7409346169273968,0.0,0.0
296897,E210,2022,11,0.9016383806107375,0.0,0.9030485359005217,0.0,0.0
296897,E210,2022,10,0.9016383806107375,0.0,0.9030485359005217,0.0,0.0
296897,E210,2022,1,0.8194058421005033,0.0,0.8219935820296832,0.0,0.0
296897,E210,2023,8,1.0,1.0,1.0,0.0,0.0
296897,E210,2023,2,0.9016383806107375,0.0,0.9030485359005217,0.0,0.0
