isn_vinculo,cod_cargo,num_ano,num_mes,8,160,207,324
297042,C826,2007,11,0.1507093954843408,0.0,0.0,0.0
297042,C826,2007,4,0.10000000000000009,0.0,0.0,0.0
297042,C826,2008,11,0.24137800436999268,0.0,0.0,0.0
297042,C826,2008,10,0.24137800436999268,0.0,0.0,0.0
297042,C826,2008,1,0.1507093954843408,0.0,0.0,0.0
297042,C826,2009,11,0.3355600873998543,0.0,0.0,0.0
297042,C826,2009,10,0.3355600873998543,0.0,0.0,0.0
297042,C826,2009,1,0.24137800436999268,0.0,0.0,0.0
297042,C826,2010,11,0.4161077931536781,0.0,0.0,0.0
297042,C826,2010,10,0.4161077931536781,0.0,0.0,0.0
297042,C826,2010,1,0.3355600873998543,0.0,0.0,0.0
297042,C826,2011,11,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,10,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,1,0.5033415877640204,0.0,0.0,0.0
297042,C826,2012,11,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,10,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,1,0.6315833940276765,0.0,0.0,0.0
297042,C826,2013,11,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,10,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,1,0.7409468317552803,0.0,0.0,0.0
297042,C826,2014,11,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,10,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,1,0.8589104151493081,0.0,0.0,0.0
297042,C826,2015,11,1.0,0.0,0.0,0.0
297042,C826,2015,10,1.0,0.0,0.0,0.0
297042,C826,2015,1,1.0,0.0,0.0,0.0
297042,C826,2016,2,1.0,0.0,0.0,0.0
