isn_vinculo,cod_cargo,num_ano,num_mes,207
296926,A025,2007,11,0.16015657434315878
296926,A025,2007,4,0.10000000000000009
296926,A025,2008,11,0.2676857837613431
296926,A025,2008,10,0.2676857837613431
296926,A025,2008,1,0.16015657434315878
296926,A025,2009,11,0.37940513611292337
296926,A025,2009,10,0.37940513611292337
296926,A025,2009,1,0.2676857837613431
296926,A025,2010,11,0.4748976929007773
296926,A025,2010,10,0.4748976929007773
296926,A025,2010,1,0.37940513611292337
296926,A025,2011,11,0.5783435146195364
296926,A025,2011,10,0.5783435146195364
296926,A025,2011,1,0.5783435146195364
296926,A025,2012,11,0.7304163454124908
296926,A025,2012,10,0.7304163454124908
296926,A025,2012,1,0.7304163454124908
296926,A025,2013,11,0.8601239546883341
296926,A025,2013,10,0.8601239546883341
296926,A025,2013,1,0.8601239546883341
296926,A025,2014,6,1.0000000000000002
296926,A025,2014,1,1.0000000000000002
296926,A025,2014,10,1.0000000000000002
