isn_vinculo,cod_cargo,num_ano,num_mes,169,171,293,294,324,346,1368
161751,W010,2007,11,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161753,W010,2007,8,0.12746751032470732,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161576,W010,2007,5,0.0,0.43438766212365015,0.0,0.0,0.0,0.0,0.0
161755,W010,2007,10,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161744,W010,2007,4,0.272290001136665,0.2773356468467071,0.0,0.0,0.0,0.0,0.0
161759,W010,2007,7,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161761,W010,2007,10,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161720,W010,2007,3,0.0,0.2773356468467071,0.0,0.0,0.0,0.0,0.0
161751,W010,2007,7,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161782,W010,2007,12,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161732,W010,2007,3,0.0,0.2773356468467071,0.0,0.0,0.0,0.0,0.0
161757,W010,2007,11,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161720,W010,2007,4,0.0,0.234142416781373,0.0,0.0,0.0,0.0,0.0
161749,W010,2007,9,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161771,W010,2007,12,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161791,W010,2007,10,0.17874531125677262,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161784,W010,2007,11,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
129726,W010,2007,12,0.2787178418520062,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161771,W010,2007,11,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161780,W010,2007,11,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161759,W010,2007,8,0.12746751032470732,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161751,W010,2007,12,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161747,W010,2007,10,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161761,W010,2007,7,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161751,W010,2007,9,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161913,W010,2008,11,0.3034744060925245,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161765,W010,2008,9,0.0,0.20065915744169366,0.0,0.0,0.0,0.0,0.0
161901,W010,2008,10,0.10452676846133445,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161927,W010,2008,11,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161897,W010,2008,10,0.10452676846133445,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161819,W010,2008,10,0.0,0.2954120703359764,0.0,0.0,0.0,0.0,0.0
161751,W010,2008,4,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161795,W010,2008,11,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161935,W010,2008,11,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161797,W010,2008,12,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
129726,W010,2008,10,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161775,W010,2008,4,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161891,W010,2008,11,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161793,W010,2008,5,0.0,0.4465403927802873,0.0,0.0,0.0,0.0,0.0
161846,W010,2008,9,0.458867881635282,0.0,0.0,0.0,0.0,0.0,0.0
161763,W010,2008,4,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161897,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161899,W010,2008,10,0.10452676846133445,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161850,W010,2008,12,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161793,W010,2008,12,0.0,0.31779822027490745,0.0,0.0,0.0,0.0,0.0
161765,W010,2008,3,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161786,W010,2008,7,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161893,W010,2008,10,0.2628102148296897,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161759,W010,2008,1,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161765,W010,2008,1,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161765,W010,2008,2,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161780,W010,2008,7,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161805,W010,2008,8,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161807,W010,2008,5,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161862,W010,2008,9,0.458867881635282,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161769,W010,2008,8,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161775,W010,2008,6,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161819,W010,2008,12,0.0,0.2954120703359764,0.0,0.0,0.0,0.0,0.0
161823,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161751,W010,2008,7,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161763,W010,2008,7,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
129726,W010,2008,1,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
157365,W010,2008,10,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161797,W010,2008,10,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161791,W010,2008,1,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161874,W010,2008,10,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161868,W010,2008,9,0.458867881635282,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161876,W010,2008,10,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161780,W010,2008,6,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161763,W010,2008,2,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161791,W010,2008,3,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161747,W010,2008,6,0.0,0.24028421317927143,0.0,0.0,0.0,0.0,0.0
161905,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161935,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161933,W010,2008,12,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161895,W010,2008,11,0.5691471223430455,0.342871406137919,0.0,0.0,0.0,0.0,0.0
161753,W010,2008,6,0.0,0.24028421317927143,0.0,0.0,0.0,0.0,0.0
161784,W010,2008,8,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161817,W010,2008,8,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161780,W010,2008,8,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161763,W010,2008,6,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161919,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161767,W010,2008,9,0.0,0.20065915744169366,0.0,0.0,0.0,0.0,0.0
161827,W010,2008,11,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161780,W010,2008,1,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161938,W010,2008,10,0.3608390482324859,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161893,W010,2008,12,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161761,W010,2008,4,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161819,W010,2008,9,0.0,0.2954120703359764,0.0,0.0,0.0,0.0,0.0
161831,W010,2008,12,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161807,W010,2008,6,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161767,W010,2008,6,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161805,W010,2008,5,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161870,W010,2008,9,0.458867881635282,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161923,W010,2008,11,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161882,W010,2008,12,0.0,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161771,W010,2008,2,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161831,W010,2008,9,0.35652540446330466,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161925,W010,2008,10,0.10452676846133445,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161929,W010,2008,11,0.5201369681354904,0.46827223202341944,0.0,0.0,0.0,0.0,0.0
161765,W010,2008,4,0.0,0.2839136503751381,0.0,0.0,0.0,0.0,0.0
161813,W010,2008,9,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
161821,W010,2008,10,0.0,0.295673794614296,0.0,0.0,0.0,0.0,0.0
