isn_vinculo,cod_cargo,num_ano,num_mes,8,15,18,39,97,140,160,165,207,1454
173063,C015,2007,11,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2007,4,0.0,0.574427372603073,0.10000000000000009,0.10000000000000009,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,0.0
173063,C015,2008,11,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2008,10,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2008,1,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2009,11,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2009,10,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2009,1,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2010,11,0.0,0.7239104876961122,0.4160903158052658,0.41611959701007506,0.0,0.0,0.0,0.41615394144609175,0.41613154894076687,0.0
173063,C015,2010,10,0.0,0.7239104876961122,0.4160903158052658,0.41611959701007506,0.0,0.0,0.0,0.41615394144609175,0.41613154894076687,0.0
173063,C015,2010,1,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2011,11,0.0,0.7651761462682937,0.5033155802265397,0.5033474163145921,0.0,0.0,0.0,0.5033777924598424,0.5033607393626596,0.0
173063,C015,2011,10,0.0,0.7651761462682937,0.5033155802265397,0.5033474163145921,0.0,0.0,0.0,0.5033777924598424,0.5033607393626596,0.0
173063,C015,2011,1,0.0,0.7651761462682937,0.5033155802265397,0.5033474163145921,0.0,0.0,0.0,0.5033777924598424,0.5033607393626596,0.0
173063,C015,2012,11,0.0,0.8258158673531439,0.6315880279048836,0.6315892102697434,0.0,0.0,0.0,0.6315935086922411,0.6315849486887113,0.0
173063,C015,2012,10,0.0,0.8258158673531439,0.6315880279048836,0.6315892102697434,0.0,0.0,0.0,0.6315935086922411,0.6315849486887113,0.0
173063,C015,2012,1,0.0,0.8258158673531439,0.6315880279048836,0.6315892102697434,0.0,0.0,0.0,0.6315935086922411,0.6315849486887113,0.0
173063,C015,2013,11,0.0,0.8775165200470264,0.7409571675043134,0.7409489762755932,0.0,0.0,0.0,0.7409670892348355,0.7409590109824162,0.0
173063,C015,2013,10,0.0,0.8775165200470264,0.7409571675043134,0.7409489762755932,0.0,0.0,0.0,0.7409670892348355,0.7409590109824162,0.0
173063,C015,2013,1,0.0,0.8775165200470264,0.7409571675043134,0.7409489762755932,0.0,0.0,0.0,0.7409670892348355,0.7409590109824162,0.0
173063,C015,2014,11,0.0,0.9333036040053513,0.8589003075538222,0.8589210269743259,0.0,0.0,0.0,0.8589255481686422,0.8589209626117749,0.0
173063,C015,2014,10,0.0,0.9333036040053513,0.8589003075538222,0.8589210269743259,0.0,0.0,0.0,0.8589255481686422,0.8589209626117749,0.0
173063,C015,2014,1,0.0,0.9333036040053513,0.8589003075538222,0.8589210269743259,0.0,0.0,0.0,0.8589255481686422,0.8589209626117749,0.0
173063,C015,2015,11,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
173063,C015,2015,10,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
173063,C015,2015,1,0.0,1.0,0.9999324881854328,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
173063,C015,2016,6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
173063,C015,2016,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
173063,C015,2016,10,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.0
1111370,C015,2020,12,0.09999999999999964,0.1,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,0.0,0.0
1111370,C015,2021,11,0.09999999999999964,0.1,0.0,0.0,0.0,0.0,0.25953332473894575,0.0,0.0,0.0
1111370,C015,2021,10,0.09999999999999964,0.1,0.0,0.0,0.0,0.0,0.25953332473894575,0.0,0.0,0.0
1111370,C015,2021,1,0.09999999999999964,0.1,0.0,0.0,0.0,0.0,0.25953332473894575,0.0,0.0,0.0
1111370,C015,2022,11,0.6631901840490793,0.12156322211862003,0.0,0.0,0.0,0.0,0.4814586824803402,0.0,0.0,0.0
1111370,C015,2022,10,0.6631901840490793,0.12156322211862003,0.0,0.0,0.0,0.0,0.4814586824803402,0.0,0.0,0.0
1111370,C015,2022,1,0.381595092024539,0.11076336806259376,0.0,0.0,0.0,0.0,0.5329444372824548,0.0,0.0,0.0
1111370,C015,2023,11,1.0,0.1344792637937325,0.0,0.0,0.0,0.0,0.7331442568003097,0.0,0.0,0.0
1111370,C015,2023,10,1.0,0.1344792637937325,0.0,0.0,0.0,0.0,0.7331442568003097,0.0,0.0,0.0
1111370,C015,2023,1,0.6631901840490793,0.12156322211862003,0.0,0.0,0.0,0.0,0.7425132138713422,0.0,0.0,0.0
1111370,C015,2024,2,1.0,0.1344792637937325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
