isn_vinculo;num_ano;num_mes;8;160;207;324;8_yoy;160_yoy;207_yoy;324_yoy;IF_label;IF_score;anomalo
297042;2007;3;544.82;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;4;544.82;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;5;544.82;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;6;544.82;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;7;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;8;564.16;0.0;0.0;380.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;9;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;10;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;11;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2007;12;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;1;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;2;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;3;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;4;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;5;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;6;564.16;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;7;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;8;598.74;0.0;0.0;415.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;9;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;10;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;11;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2008;12;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;1;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;2;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;3;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;4;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;5;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;6;598.74;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;7;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;8;634.66;0.0;0.0;465.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;9;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;10;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;11;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2009;12;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;1;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;2;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;3;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;4;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;5;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;6;634.66;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;7;665.38;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;8;665.38;0.0;0.0;510.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;9;665.38;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;10;665.38;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;11;665.38;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2010;12;665.38;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;1;698.65;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;2;698.65;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;3;698.65;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;4;698.65;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;5;698.65;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;6;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;7;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;8;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;9;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;10;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;11;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2011;12;0.0;0.0;698.65;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2012;1;747.56;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
297042;2012;2;747.56;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0;0
