isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;94_yoy;97_yoy;101_yoy;140_yoy;204_yoy;302_yoy;303_yoy;316_yoy;317_yoy;1236_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
11699;2008;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;2884.29;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1886.35;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2009;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.53;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2010;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2096.31;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
11699;2011;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2201.13;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2008;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;1138.52;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2008;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2008;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2009;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;998.75;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12198;2010;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1047.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
12901;2010;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;408.0;1739.1;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
