isn_vinculo;num_ano;num_mes;100;106;100_yoy;106_yoy;IF_label;IF_score;anomalo
20321;2009;10;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2009;11;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2009;12;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;1;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;2;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;3;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;4;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;5;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;6;0.0;110.91;1.0;1.0;1;0.2571856737752446;0
20321;2010;7;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2010;8;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2010;9;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2010;10;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2010;11;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2010;12;0.0;116.28;1.0;1.0;1;0.2571856737752446;0
20321;2011;1;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;2;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;3;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;4;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;5;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;6;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;7;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;8;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;9;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;10;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;11;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
20321;2011;12;0.0;122.09;1.0;1.0;1;0.2571856737752446;0
73309;2007;3;0.0;312.14;1.0;1.0;1;0.2571856737752446;0
73309;2007;4;0.0;312.14;1.0;1.0;1;0.2571856737752446;0
73309;2007;5;0.0;312.14;1.0;1.0;1;0.2571856737752446;0
73309;2007;6;0.0;312.14;1.0;1.0;1;0.2571856737752446;0
73309;2007;7;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2007;8;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2007;9;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2007;10;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2007;11;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2007;12;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;1;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;2;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;3;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;4;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;5;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;6;0.0;323.22;1.0;1.0;1;0.2571856737752446;0
73309;2008;7;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2008;8;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2008;9;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2008;10;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2008;11;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2008;12;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;1;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;2;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;3;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;4;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;5;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;6;0.0;343.03;1.0;1.0;1;0.2571856737752446;0
73309;2009;7;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2009;8;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2009;9;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2009;10;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2009;11;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2009;12;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;1;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;2;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;3;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;4;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;5;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;6;0.0;363.61;1.0;1.0;1;0.2571856737752446;0
73309;2010;7;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2010;8;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2010;9;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2010;10;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2010;11;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2010;12;0.0;381.21;1.0;1.0;1;0.2571856737752446;0
73309;2011;1;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
73309;2011;2;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
73309;2011;3;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
73309;2011;4;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
73309;2011;5;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
73309;2011;6;0.0;400.27;1.0;1.0;1;0.2571856737752446;0
80204;2008;6;0.0;126.0;1.0;1.0;1;0.2571856737752446;0
80204;2008;7;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2008;8;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2008;9;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2008;10;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2008;11;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2008;12;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;1;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;2;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;3;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;4;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;5;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
80204;2009;6;0.0;133.72;1.0;1.0;1;0.2571856737752446;0
