isn_vinculo;num_ano;num_mes;44;102;185;226;227;44_yoy;102_yoy;185_yoy;226_yoy;227_yoy;IF_label;IF_score;anomalo
154379;2010;3;0.0;0.0;115.2;565.87;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;4;0.0;0.0;120.96;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;5;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;6;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;7;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;8;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;9;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;10;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;11;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2010;12;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2011;1;0.0;0.0;0.0;1167.97;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2011;2;0.0;0.0;0.0;1167.97;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154379;2011;3;1553.4;0.0;0.0;0.0;545.05;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;3;0.0;0.0;115.2;565.87;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;4;0.0;0.0;120.96;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;5;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;6;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;7;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;8;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154380;2010;9;739.71;556.18;0.0;0.0;556.18;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;3;0.0;0.0;115.2;565.87;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;4;0.0;0.0;120.96;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;5;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;6;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;7;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;8;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;9;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;10;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;11;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2010;12;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2011;1;0.0;0.0;0.0;1167.97;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2011;2;0.0;0.0;0.0;1167.97;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154381;2011;3;1553.4;0.0;0.0;0.0;545.05;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154382;2010;3;0.0;0.0;115.2;565.87;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154382;2010;4;0.0;0.0;120.96;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154382;2010;5;0.0;265.25;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;3;0.0;0.0;115.2;565.87;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;4;0.0;0.0;120.96;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;5;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;6;0.0;0.0;0.0;1061.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;7;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
154383;2010;8;0.0;0.0;0.0;1112.35;0.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
