isn_vinculo;num_ano;num_mes;15;39;97;188;207;1367;1369;15_yoy;39_yoy;97_yoy;188_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
305943;2010;6;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;7;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;8;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;9;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;10;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;11;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2010;12;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;1;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;2;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;3;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;4;483.31;1288.48;12.63;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;5;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;6;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
