isn_vinculo;num_ano;num_mes;15;97;207;1367;1369;15_yoy;97_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
296897;2010;9;805.1;0.0;2683.68;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2010;10;805.1;0.0;2683.68;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2010;11;805.1;0.0;2683.68;0.0;0.0;1.2212918297381754;1.0;1.2212923396180049;1.0;1.0;1;0.015236247318539897;0
296897;2010;12;805.1;0.0;2683.68;0.0;0.0;1.1794090502907872;1.0;1.1794218210264478;1.0;1.0;1;0.054359609767669737;0
296897;2011;1;845.36;0.0;2817.86;0.0;0.0;1.1668668129805237;1.0;1.166864052341712;1.0;1.0;1;0.028816862450207426;0
296897;2011;2;845.36;0.0;2817.86;0.0;0.0;1.1008151678516551;1.0;1.1008168638833655;1.0;1.0;1;0.0012532376956819746;0
296897;2011;3;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;4;845.36;14.27;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;5;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;6;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;7;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;8;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;9;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;10;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;11;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2011;12;845.36;0.0;2817.86;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;1;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;2;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;3;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;4;904.53;0.0;3015.11;0.0;0.0;1.3721215982524801;1.0;1.3721199047970112;1.0;1.0;1;0.01736340666974745;0
296897;2012;5;904.53;0.0;3015.11;0.0;0.0;1.325066287740064;1.0;1.3250784470559283;1.0;1.0;1;0.042427875657050196;0
296897;2012;6;904.53;0.0;3015.11;0.0;0.0;1.2485403122282495;1.0;1.2485444531864673;1.0;1.0;1;0.03221579766945948;0
296897;2012;7;904.53;0.0;3015.11;0.0;0.0;1.1778654582389247;1.0;1.1778739662237918;1.0;1.0;1;0.05363960143317348;0
296897;2012;8;904.53;0.0;3015.11;0.0;0.0;1.0699938487744867;0.0;1.069999929024153;1.0;1.0;-1;-0.22599995233120063;1
296897;2012;9;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;10;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
