isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;8_yoy;10_yoy;15_yoy;19_yoy;39_yoy;70_yoy;94_yoy;97_yoy;207_yoy;324_yoy;666_yoy;680_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
297091;2008;10;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2008;11;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2008;12;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;1;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;2;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;3;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;4;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;5;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0612987070627495;1.0613044250144246;1.0;1.0;1.0;1.0;1.0;1.0612987070627495;1.0;1.0;1.0;1.0;1.0;1;0.21209287415355726;0
297091;2009;6;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;7;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;8;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;9;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;10;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;11;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2009;12;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;1;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;2;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;3;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;4;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;5;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;6;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;7;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.2212973016447501;1.2212902855173207;1.0;1.0;1.0;1.0;1.0;1.2212973016447501;1.0;1.0;1.0;1.0;1.0;1;0.1411578847425773;0
297091;2010;8;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.1794272906570653;1.1794305623363366;1.0;1.0;1.0;1.0;1.0;1.1794272906570653;1.0;1.0;1.0;1.0;1.0;1;0.14623332578919984;0
297091;2010;9;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.111305688783178;1.1113027841378373;1.0;1.0;1.0;1.0;1.0;1.111305688783178;1.0;1.0;1.0;1.0;1.0;1;0.17935796241673863;0
297091;2010;10;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;11;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
297091;2010;12;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.3203489387441959;0
