isn_vinculo;num_ano;num_mes;15;151;160;161;207;297;1367;1369;IF_label;IF_score;anomalo
175849;2007;3;29.33;6.2;206.94;0.0;136.86;0.0;0.0;0.0;1;0.09662000318591046;0
175968;2007;3;64.67;0.0;180.4;0.0;194.0;0.0;0.0;0.0;1;0.09779362507749545;0
175849;2007;4;29.33;6.2;236.94;0.0;136.86;0.0;0.0;0.0;1;0.06293732067881241;0
175968;2007;4;64.67;0.0;186.0;0.0;194.0;0.0;0.0;0.0;1;0.10078363297161613;0
175849;2007;5;29.33;6.2;236.94;0.0;136.86;0.0;0.0;0.0;1;0.06293732067881241;0
175968;2007;5;64.67;0.0;186.0;0.0;194.0;0.0;0.0;0.0;1;0.10078363297161613;0
175849;2007;6;29.33;6.2;207.61;0.0;136.86;0.0;0.0;0.0;1;0.09721266308587512;0
175968;2007;6;64.67;0.0;121.33;0.0;194.0;0.0;0.0;0.0;-1;-0.013709193992068158;1
175849;2007;7;30.37;6.42;201.49;29.33;141.72;0.0;0.0;0.0;-1;-0.0061592140693143005;1
175968;2007;7;66.96;0.0;204.11;64.67;200.89;0.0;0.0;0.0;-1;-0.06288235590407465;1
175849;2007;8;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.12312722874151133;0
175968;2007;8;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.10404313809478793;0
175849;2007;9;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.12312722874151133;0
175968;2007;9;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.10404313809478793;0
175849;2007;10;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.12312722874151133;0
175968;2007;10;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.10404313809478793;0
175849;2007;11;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.12312722874151133;0
175968;2007;11;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.10404313809478793;0
175849;2007;12;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.12312722874151133;0
175968;2007;12;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.10404313809478793;0
175849;2008;1;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.029024470046875583;0
175968;2008;1;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
175849;2008;2;30.37;6.42;201.49;0.0;141.72;0.0;0.0;0.0;1;0.029024470046875583;0
175968;2008;2;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
175849;2008;3;30.37;6.42;236.49;0.0;141.72;0.0;0.0;0.0;1;0.1525722391631359;0
175968;2008;3;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
175849;2008;4;30.37;6.42;236.49;0.0;141.72;0.0;0.0;0.0;1;0.1525722391631359;0
175968;2008;4;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
175849;2008;5;30.37;6.42;236.49;0.0;141.72;0.0;0.0;0.0;1;0.1525722391631359;0
175968;2008;5;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
175849;2008;6;30.37;6.42;236.49;0.0;141.72;0.0;0.0;0.0;1;0.1525722391631359;0
175968;2008;6;66.96;0.0;204.11;0.0;200.89;0.0;0.0;0.0;1;0.13982169012980228;0
