isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;anomalo
131976;2007;3;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1610333771276633;0
305874;2007;3;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12565482453978566;0
131976;2007;4;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1610333771276633;0
305874;2007;4;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1176026782631377;0
131976;2007;5;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1610333771276633;0
305874;2007;5;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12565482453978566;0
131976;2007;6;1898.21;189.82;0.0;0.0;0.0;0.0;17.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12492690161677245;0
305874;2007;6;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1176026782631377;0
131976;2007;7;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14919147114507342;0
305874;2007;7;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1324820364939906;0
131976;2007;8;1965.6;196.56;0.0;0.0;0.0;0.0;65.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.016600404189508144;0
305874;2007;8;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;89.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1380006418098324;0
131976;2007;9;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14919147114507342;0
305874;2007;9;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1324820364939906;0
131976;2007;10;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14919147114507342;0
305874;2007;10;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1385198901981582;0
131976;2007;11;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14919147114507342;0
305874;2007;11;1200.63;180.09;0.0;460.24;643.98;0.0;0.0;0.0;0.0;645.31;0.0;0.0;0.0;0.0;0.0;-1;-0.1364487025175355;1
131976;2007;12;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14919147114507342;0
305874;2007;12;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12053779130974429;0
131976;2008;1;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;1;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;89.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13925165177781784;0
131976;2008;2;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;2;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14184828103471836;0
131976;2008;3;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;3;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;98.91;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1395038735309741;0
131976;2008;4;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;4;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14184828103471836;0
131976;2008;5;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;5;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;98.91;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1395038735309741;0
131976;2008;6;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17700490853837125;0
305874;2008;6;1200.63;180.09;0.0;0.0;0.0;0.0;0.0;0.0;108.33;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12249729427000511;0
131976;2008;7;2086.09;208.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.156342007452218;0
305874;2008;7;1274.22;191.13;0.0;488.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.04506904031608083;0
131976;2008;8;2086.09;208.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.156342007452218;0
305874;2008;8;1274.22;191.13;0.0;0.0;0.0;0.0;0.0;0.0;119.02;0.0;0.0;0.0;16.1;0.0;0.0;1;0.019722937490173842;0
131976;2008;9;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1920.14;0.0;0.0;0.0;0.0;0.0;-1;-0.0010776900398248301;1
305874;2008;9;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;119.02;1273.35;0.0;0.0;0.0;0.0;0.0;1;0.051223520732195826;0
131976;2008;10;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12827329290445055;0
305874;2008;10;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14987263120192323;0
131976;2008;11;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12827329290445055;0
305874;2008;11;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;119.02;0.0;0.0;0.0;0.0;0.0;0.0;1;0.140142996324982;0
131976;2008;12;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12827329290445055;0
305874;2008;12;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;91.97;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1576925066715038;0
305874;2009;1;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;91.97;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09533479965599045;0
305874;2009;2;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;113.61;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10603198621532084;0
305874;2009;3;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11091173958967643;0
305874;2009;4;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11091173958967643;0
305874;2009;5;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;102.79;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10513035120170461;0
131976;2009;6;1386.52;219.04;5476.0;0.0;0.0;1095.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.11724339667348871;1
305874;2009;6;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;124.43;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08776657750914663;0
131976;2009;7;0.0;0.0;5476.0;0.0;0.0;0.0;0.0;1204.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.17288195313421617;1
305874;2009;7;1418.17;212.73;0.0;0.0;0.0;0.0;0.0;0.0;120.96;0.0;0.0;0.0;8.05;0.0;0.0;1;0.002001424359674653;0
305874;2009;8;1418.17;212.73;0.0;543.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.015867308689284987;1
305874;2009;9;1418.17;212.73;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.09298159542959006;0
305874;2009;10;1489.1;223.37;0.0;0.0;1573.08;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.01432727300097636;1
305874;2009;11;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0577728148600431;0
305874;2009;12;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08148600172204906;0
305874;2010;1;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;97.92;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12523451126316293;0
305874;2010;2;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12490769787616401;0
305874;2010;3;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12994985284519428;0
305874;2010;4;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;120.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12890994138044987;0
305874;2010;5;1563.58;234.54;0.0;0.0;1244.7;0.0;0.0;0.0;120.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07717357078857856;0
305874;2010;6;1563.58;234.54;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.16294504485299477;0
305874;2010;7;1639.26;245.89;0.0;628.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.42;0.0;0.0;-1;-0.024801786441242202;1
