isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;anomalo
305944;2007;8;0.0;708.92;1;0.1636299598924595;0
312118;2007;8;0.0;243.83;1;0.21421665361943804;0
312125;2007;8;0.0;291.11;1;0.2072685188961782;0
320454;2007;8;0.0;213.5;1;0.21431842115879718;0
331355;2007;8;0.0;1149.41;1;0.151883986976053;0
331390;2007;8;0.0;140.83;1;0.21834925152511542;0
331429;2007;8;0.0;696.94;1;0.16633256085885822;0
12898;2007;9;0.0;420.97;1;0.187261048084143;0
20321;2007;9;0.0;98.59;1;0.21121244253838622;0
73309;2007;9;0.0;323.22;1;0.201954671054627;0
127853;2007;9;0.0;705.98;1;0.16420692850956908;0
141000;2007;9;0.0;120.72;1;0.2161754336783508;0
167040;2007;9;0.0;2967.42;1;0.030390453412707297;0
167243;2007;9;0.0;3974.58;-1;-0.07286347664727788;1
167321;2007;9;0.0;696.94;1;0.16633256085885822;0
172915;2007;9;0.0;296.3;1;0.2062126821923161;0
173352;2007;9;0.0;295.81;1;0.2062126821923161;0
175041;2007;9;0.0;67.59;1;0.2097912265678355;0
175043;2007;9;0.0;184.85;1;0.21672153307578174;0
175502;2007;9;0.0;234.97;1;0.2157916238212494;0
175970;2007;9;0.0;139.73;1;0.21864775812202902;0
177065;2007;9;0.0;459.74;1;0.18163517043625904;0
177356;2007;9;0.0;317.36;1;0.2020856885103679;0
218731;2007;9;0.0;296.87;1;0.20680472787436005;0
264732;2007;9;0.0;130.62;1;0.2184241276405327;0
296900;2007;9;0.0;1764.98;1;0.09862345537338457;0
296979;2007;9;0.0;147.88;1;0.21878601124556485;0
296999;2007;9;0.0;301.25;1;0.20631051558724478;0
305944;2007;9;0.0;708.92;1;0.1636299598924595;0
312118;2007;9;0.0;243.83;1;0.21421665361943804;0
312125;2007;9;0.0;291.11;1;0.2072685188961782;0
320454;2007;9;0.0;213.5;1;0.21431842115879718;0
331355;2007;9;0.0;1149.41;1;0.151883986976053;0
331390;2007;9;0.0;140.83;1;0.21834925152511542;0
331429;2007;9;0.0;696.94;1;0.16633256085885822;0
12898;2007;10;0.0;420.97;1;0.187261048084143;0
20321;2007;10;0.0;98.59;1;0.21121244253838622;0
73309;2007;10;0.0;323.22;1;0.201954671054627;0
127853;2007;10;0.0;705.98;1;0.16420692850956908;0
141000;2007;10;0.0;120.72;1;0.2161754336783508;0
167040;2007;10;0.0;1584.01;1;0.12076600953545669;0
167243;2007;10;0.0;3974.58;-1;-0.07286347664727788;1
167321;2007;10;0.0;696.94;1;0.16633256085885822;0
172915;2007;10;0.0;296.3;1;0.2062126821923161;0
173352;2007;10;0.0;295.81;1;0.2062126821923161;0
175041;2007;10;0.0;67.59;1;0.2097912265678355;0
175043;2007;10;0.0;184.85;1;0.21672153307578174;0
175502;2007;10;0.0;234.97;1;0.2157916238212494;0
175970;2007;10;0.0;139.73;1;0.21864775812202902;0
177065;2007;10;0.0;459.74;1;0.18163517043625904;0
177356;2007;10;0.0;317.36;1;0.2020856885103679;0
218731;2007;10;0.0;296.87;1;0.20680472787436005;0
264732;2007;10;0.0;130.62;1;0.2184241276405327;0
296900;2007;10;0.0;1764.98;1;0.09862345537338457;0
296979;2007;10;0.0;147.88;1;0.21878601124556485;0
296999;2007;10;0.0;301.25;1;0.20631051558724478;0
305944;2007;10;0.0;708.92;1;0.1636299598924595;0
312118;2007;10;0.0;243.83;1;0.21421665361943804;0
312125;2007;10;0.0;291.11;1;0.2072685188961782;0
320454;2007;10;0.0;213.5;1;0.21431842115879718;0
331355;2007;10;0.0;1149.41;1;0.151883986976053;0
331390;2007;10;0.0;140.83;1;0.21834925152511542;0
331429;2007;10;0.0;696.94;1;0.16633256085885822;0
12898;2007;11;0.0;420.97;1;0.187261048084143;0
20321;2007;11;0.0;98.59;1;0.21121244253838622;0
73309;2007;11;0.0;323.22;1;0.201954671054627;0
127853;2007;11;0.0;705.98;1;0.16420692850956908;0
141000;2007;11;0.0;120.72;1;0.2161754336783508;0
167040;2007;11;1383.38;2967.42;-1;-0.20678818384042408;1
167243;2007;11;730.37;3974.58;-1;-0.20094113100893574;1
167321;2007;11;0.0;696.94;1;0.16633256085885822;0
172915;2007;11;0.0;296.3;1;0.2062126821923161;0
173352;2007;11;0.0;295.81;1;0.2062126821923161;0
175041;2007;11;0.0;67.59;1;0.2097912265678355;0
175043;2007;11;0.0;184.85;1;0.21672153307578174;0
175502;2007;11;0.0;234.97;1;0.2157916238212494;0
175970;2007;11;0.0;139.73;1;0.21864775812202902;0
177065;2007;11;0.0;459.74;1;0.18163517043625904;0
177356;2007;11;0.0;317.36;1;0.2020856885103679;0
218731;2007;11;0.0;296.87;1;0.20680472787436005;0
264732;2007;11;0.0;130.62;1;0.2184241276405327;0
296900;2007;11;0.0;1764.98;1;0.09862345537338457;0
296979;2007;11;0.0;147.88;1;0.21878601124556485;0
296999;2007;11;0.0;301.25;1;0.20631051558724478;0
305944;2007;11;0.0;708.92;1;0.1636299598924595;0
312118;2007;11;0.0;243.83;1;0.21421665361943804;0
312125;2007;11;0.0;291.11;1;0.2072685188961782;0
320454;2007;11;0.0;213.5;1;0.21431842115879718;0
331355;2007;11;0.0;1149.41;1;0.151883986976053;0
331390;2007;11;0.0;140.83;1;0.21834925152511542;0
331429;2007;11;0.0;696.94;1;0.16633256085885822;0
12898;2007;12;0.0;420.97;1;0.187261048084143;0
20321;2007;12;0.0;98.59;1;0.21121244253838622;0
73309;2007;12;0.0;323.22;1;0.201954671054627;0
127853;2007;12;0.0;705.98;1;0.16420692850956908;0
141000;2007;12;0.0;120.72;1;0.2161754336783508;0
167040;2007;12;0.0;2967.42;1;0.030390453412707297;0
167243;2007;12;730.37;3974.58;-1;-0.20094113100893574;1
167321;2007;12;0.0;696.94;1;0.16633256085885822;0
172915;2007;12;0.0;296.3;1;0.2062126821923161;0
173352;2007;12;0.0;295.81;1;0.2062126821923161;0
175041;2007;12;0.0;67.59;1;0.2097912265678355;0
175043;2007;12;0.0;184.85;1;0.21672153307578174;0
175502;2007;12;0.0;234.97;1;0.2157916238212494;0
175970;2007;12;0.0;139.73;1;0.21864775812202902;0
177065;2007;12;0.0;459.74;1;0.18163517043625904;0
177356;2007;12;0.0;317.36;1;0.2020856885103679;0
218731;2007;12;0.0;296.87;1;0.20680472787436005;0
264732;2007;12;0.0;130.62;1;0.2184241276405327;0
296900;2007;12;0.0;1764.98;1;0.09862345537338457;0
296979;2007;12;0.0;147.88;1;0.21878601124556485;0
296999;2007;12;0.0;301.25;1;0.20631051558724478;0
305944;2007;12;0.0;708.92;1;0.1636299598924595;0
312118;2007;12;0.0;243.83;1;0.21421665361943804;0
312125;2007;12;0.0;291.11;1;0.2072685188961782;0
320454;2007;12;0.0;213.5;1;0.21431842115879718;0
331355;2007;12;0.0;1149.41;1;0.151883986976053;0
331390;2007;12;0.0;140.83;1;0.21834925152511542;0
331429;2007;12;0.0;696.94;1;0.16633256085885822;0
12898;2008;1;0.0;420.97;1;0.18672859378237577;0
20321;2008;1;0.0;98.59;1;0.21600942036493154;0
73309;2008;1;0.0;323.22;1;0.20751015166694592;0
127853;2008;1;0.0;705.98;1;0.1606518422609488;0
141000;2008;1;0.0;120.72;1;0.22085652752808616;0
167040;2008;1;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;1;730.37;3974.58;-1;-0.24284796313883272;1
167321;2008;1;0.0;696.94;1;0.1609435724778085;0
172915;2008;1;0.0;296.3;1;0.21031229378098498;0
173352;2008;1;0.0;295.81;1;0.21059066970244;0
175041;2008;1;0.0;67.59;1;0.21104002057784554;0
175043;2008;1;0.0;184.85;1;0.21752528322346337;0
175502;2008;1;0.0;234.97;1;0.2184065448396924;0
175970;2008;1;0.0;139.73;1;0.22028339417825898;0
177065;2008;1;0.0;459.74;1;0.17916174174495875;0
177356;2008;1;0.0;317.36;1;0.207288971589618;0
218731;2008;1;0.0;296.87;1;0.21015330903418544;0
264732;2008;1;0.0;130.62;1;0.22064045235525565;0
296900;2008;1;0.0;1764.98;1;0.07531621169481739;0
296979;2008;1;0.0;147.88;1;0.22167451240317287;0
296999;2008;1;0.0;301.25;1;0.20954316248348026;0
305944;2008;1;0.0;708.92;1;0.16049848016530693;0
312118;2008;1;0.0;243.83;1;0.21477988228389294;0
312125;2008;1;0.0;291.11;1;0.21054440581918837;0
320454;2008;1;0.0;213.5;1;0.21898362516004677;0
331355;2008;1;0.0;1149.41;1;0.15683515101929074;0
331390;2008;1;0.0;140.83;1;0.22023520872918073;0
331429;2008;1;0.0;696.94;1;0.1609435724778085;0
12898;2008;2;0.0;420.97;1;0.18672859378237577;0
20321;2008;2;0.0;98.59;1;0.21600942036493154;0
73309;2008;2;0.0;323.22;1;0.20751015166694592;0
127853;2008;2;0.0;705.98;1;0.1606518422609488;0
141000;2008;2;0.0;120.72;1;0.22085652752808616;0
167040;2008;2;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;2;0.0;3974.58;-1;-0.09591016373551231;1
167321;2008;2;0.0;696.94;1;0.1609435724778085;0
172915;2008;2;0.0;296.3;1;0.21031229378098498;0
173352;2008;2;0.0;295.81;1;0.21059066970244;0
175041;2008;2;0.0;67.59;1;0.21104002057784554;0
175043;2008;2;0.0;184.85;1;0.21752528322346337;0
175502;2008;2;0.0;234.97;1;0.2184065448396924;0
175970;2008;2;0.0;139.73;1;0.22028339417825898;0
177065;2008;2;0.0;459.74;1;0.17916174174495875;0
177356;2008;2;0.0;106.98;1;0.21943708088624725;0
218731;2008;2;0.0;296.87;1;0.21015330903418544;0
264732;2008;2;0.0;130.62;1;0.22064045235525565;0
296900;2008;2;0.0;1764.98;1;0.07531621169481739;0
296979;2008;2;0.0;147.88;1;0.22167451240317287;0
296999;2008;2;0.0;301.25;1;0.20954316248348026;0
305944;2008;2;0.0;708.92;1;0.16049848016530693;0
312118;2008;2;0.0;243.83;1;0.21477988228389294;0
312125;2008;2;0.0;291.11;1;0.21054440581918837;0
320454;2008;2;0.0;213.5;1;0.21898362516004677;0
331355;2008;2;0.0;1149.41;1;0.15683515101929074;0
331390;2008;2;0.0;140.83;1;0.22023520872918073;0
331429;2008;2;0.0;696.94;1;0.1609435724778085;0
12898;2008;3;0.0;420.97;1;0.18672859378237577;0
20321;2008;3;0.0;98.59;1;0.21600942036493154;0
73309;2008;3;0.0;323.22;1;0.20751015166694592;0
127853;2008;3;0.0;705.98;1;0.1606518422609488;0
141000;2008;3;0.0;120.72;1;0.22085652752808616;0
167040;2008;3;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;3;0.0;3974.58;-1;-0.09591016373551231;1
167321;2008;3;0.0;696.94;1;0.1609435724778085;0
172915;2008;3;0.0;296.3;1;0.21031229378098498;0
173352;2008;3;0.0;295.81;1;0.21059066970244;0
175041;2008;3;0.0;67.59;1;0.21104002057784554;0
175043;2008;3;0.0;184.85;1;0.21752528322346337;0
175502;2008;3;0.0;234.97;1;0.2184065448396924;0
175970;2008;3;0.0;139.73;1;0.22028339417825898;0
177065;2008;3;0.0;459.74;1;0.17916174174495875;0
177356;2008;3;0.0;106.98;1;0.21943708088624725;0
218731;2008;3;0.0;296.87;1;0.21015330903418544;0
264732;2008;3;0.0;130.62;1;0.22064045235525565;0
296900;2008;3;0.0;1764.98;1;0.07531621169481739;0
296979;2008;3;0.0;147.88;1;0.22167451240317287;0
296999;2008;3;0.0;301.25;1;0.20954316248348026;0
305944;2008;3;0.0;708.92;1;0.16049848016530693;0
312118;2008;3;0.0;243.83;1;0.21477988228389294;0
312125;2008;3;0.0;291.11;1;0.21054440581918837;0
320454;2008;3;0.0;213.5;1;0.21898362516004677;0
331355;2008;3;0.0;1149.41;1;0.15683515101929074;0
331390;2008;3;0.0;140.83;1;0.22023520872918073;0
331429;2008;3;0.0;696.94;1;0.1609435724778085;0
12898;2008;4;0.0;420.97;1;0.18672859378237577;0
20321;2008;4;0.0;98.59;1;0.21600942036493154;0
73309;2008;4;0.0;323.22;1;0.20751015166694592;0
127853;2008;4;0.0;705.98;1;0.1606518422609488;0
141000;2008;4;0.0;120.72;1;0.22085652752808616;0
167040;2008;4;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;4;0.0;3974.58;-1;-0.09591016373551231;1
167321;2008;4;0.0;696.94;1;0.1609435724778085;0
172915;2008;4;0.0;296.3;1;0.21031229378098498;0
173352;2008;4;0.0;295.81;1;0.21059066970244;0
175041;2008;4;0.0;67.59;1;0.21104002057784554;0
175043;2008;4;0.0;184.85;1;0.21752528322346337;0
175502;2008;4;0.0;234.97;1;0.2184065448396924;0
175970;2008;4;0.0;139.73;1;0.22028339417825898;0
177065;2008;4;0.0;459.74;1;0.17916174174495875;0
177356;2008;4;0.0;106.98;1;0.21943708088624725;0
218731;2008;4;0.0;296.87;1;0.21015330903418544;0
264732;2008;4;0.0;130.62;1;0.22064045235525565;0
296900;2008;4;0.0;1764.98;1;0.07531621169481739;0
296979;2008;4;0.0;147.88;1;0.22167451240317287;0
296999;2008;4;0.0;301.25;1;0.20954316248348026;0
305944;2008;4;0.0;708.92;1;0.16049848016530693;0
312118;2008;4;0.0;243.83;1;0.21477988228389294;0
312125;2008;4;0.0;291.11;1;0.21054440581918837;0
320424;2008;4;0.0;207.5;1;0.21842095430212471;0
320454;2008;4;0.0;213.5;1;0.21898362516004677;0
331355;2008;4;0.0;1149.41;1;0.15683515101929074;0
331390;2008;4;0.0;140.83;1;0.22023520872918073;0
331429;2008;4;0.0;696.94;1;0.1609435724778085;0
12898;2008;5;0.0;420.97;1;0.18672859378237577;0
20321;2008;5;0.0;98.59;1;0.21600942036493154;0
73309;2008;5;0.0;323.22;1;0.20751015166694592;0
127853;2008;5;0.0;705.98;1;0.1606518422609488;0
141000;2008;5;0.0;120.72;1;0.22085652752808616;0
167040;2008;5;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;5;0.0;3974.58;-1;-0.09591016373551231;1
167321;2008;5;0.0;696.94;1;0.1609435724778085;0
172915;2008;5;0.0;296.3;1;0.21031229378098498;0
173352;2008;5;0.0;295.81;1;0.21059066970244;0
175041;2008;5;0.0;67.59;1;0.21104002057784554;0
175043;2008;5;0.0;184.85;1;0.21752528322346337;0
175502;2008;5;0.0;234.97;1;0.2184065448396924;0
175970;2008;5;0.0;139.73;1;0.22028339417825898;0
177065;2008;5;0.0;459.74;1;0.17916174174495875;0
177356;2008;5;0.0;106.98;1;0.21943708088624725;0
218731;2008;5;0.0;296.87;1;0.21015330903418544;0
264732;2008;5;0.0;130.62;1;0.22064045235525565;0
296900;2008;5;0.0;1764.98;1;0.07531621169481739;0
296979;2008;5;0.0;147.88;1;0.22167451240317287;0
296999;2008;5;0.0;301.25;1;0.20954316248348026;0
305944;2008;5;0.0;708.92;1;0.16049848016530693;0
312118;2008;5;0.0;243.83;1;0.21477988228389294;0
312125;2008;5;0.0;291.11;1;0.21054440581918837;0
320424;2008;5;0.0;207.5;1;0.21842095430212471;0
320454;2008;5;0.0;213.5;1;0.21898362516004677;0
331355;2008;5;0.0;1149.41;1;0.15683515101929074;0
331390;2008;5;0.0;140.83;1;0.22023520872918073;0
331429;2008;5;0.0;696.94;1;0.1609435724778085;0
12898;2008;6;0.0;420.97;1;0.18672859378237577;0
20321;2008;6;0.0;98.59;1;0.21600942036493154;0
73309;2008;6;0.0;323.22;1;0.20751015166694592;0
80204;2008;6;0.0;126.0;1;0.2218411240773357;0
127853;2008;6;0.0;705.98;1;0.1606518422609488;0
141000;2008;6;0.0;120.72;1;0.22085652752808616;0
167040;2008;6;0.0;2967.42;-1;-0.009214718915475872;1
167243;2008;6;0.0;3974.58;-1;-0.09591016373551231;1
167321;2008;6;0.0;696.94;1;0.1609435724778085;0
172915;2008;6;0.0;296.3;1;0.21031229378098498;0
173352;2008;6;0.0;295.81;1;0.21059066970244;0
175041;2008;6;0.0;67.59;1;0.21104002057784554;0
175043;2008;6;0.0;184.85;1;0.21752528322346337;0
175502;2008;6;0.0;234.97;1;0.2184065448396924;0
175970;2008;6;0.0;139.73;1;0.22028339417825898;0
177065;2008;6;0.0;459.74;1;0.17916174174495875;0
177356;2008;6;0.0;106.98;1;0.21943708088624725;0
218731;2008;6;0.0;296.87;1;0.21015330903418544;0
264732;2008;6;0.0;130.62;1;0.22064045235525565;0
296900;2008;6;0.0;1764.98;1;0.07531621169481739;0
296979;2008;6;0.0;147.88;1;0.22167451240317287;0
296999;2008;6;0.0;301.25;1;0.20954316248348026;0
305944;2008;6;0.0;708.92;1;0.16049848016530693;0
312118;2008;6;0.0;243.83;1;0.21477988228389294;0
312125;2008;6;0.0;291.11;1;0.21054440581918837;0
320424;2008;6;0.0;207.5;1;0.21842095430212471;0
320454;2008;6;0.0;213.5;1;0.21898362516004677;0
331355;2008;6;0.0;1149.41;1;0.15683515101929074;0
331390;2008;6;0.0;140.83;1;0.22023520872918073;0
331429;2008;6;0.0;696.94;1;0.1609435724778085;0
12898;2008;7;0.0;446.78;1;0.18250424664556547;0
20321;2008;7;0.0;104.63;1;0.21845074382085328;0
73309;2008;7;0.0;343.03;1;0.2018457070581367;0
80204;2008;7;0.0;133.72;1;0.2217763499848776;0
127853;2008;7;0.0;749.26;1;0.1597125058639941;0
141000;2008;7;0.0;128.12;1;0.22111264629843946;0
167040;2008;7;0.0;3149.32;-1;-0.03641238300543337;1
167243;2008;7;0.0;4218.22;-1;-0.09991055982788055;1
167321;2008;7;0.0;739.66;1;0.159850977970249;0
172915;2008;7;0.0;314.46;1;0.20746368794743048;0
173352;2008;7;0.0;313.94;1;0.20749401457179528;0
175041;2008;7;0.0;71.73;1;0.21076596374570444;0
175043;2008;7;0.0;196.18;1;0.21651118681402037;0
175502;2008;7;0.0;249.37;1;0.21403138355914447;0
175970;2008;7;0.0;148.3;1;0.22167451240317287;0
177065;2008;7;0.0;487.92;1;0.17636125759937615;0
177356;2008;7;0.0;113.54;1;0.21992780949140767;0
218731;2008;7;0.0;315.07;1;0.20746368794743048;0
264732;2008;7;0.0;138.63;1;0.22028339417825898;0
296900;2008;7;0.0;1873.17;1;0.06976550747956645;0
296979;2008;7;0.0;156.95;1;0.22164941989520565;0
296999;2008;7;0.0;319.72;1;0.20618086247748468;0
305944;2008;7;0.0;752.38;1;0.15912734912252913;0
312118;2008;7;0.0;258.78;1;0.21201206990112048;0
