isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;anomalo
140996;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;808.67;0.0;0.0;0.0;0.0;1;0.05079948432896675;0
140998;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.9;0.0;0.0;0.0;0.0;1;0.019627284939468526;0
167223;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.85;0.0;0.0;0.0;0.0;1;0.052897558892483154;0
167224;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;325.24;0.0;0.0;0.0;0.0;1;0.05742894985736052;0
167298;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.21;0.0;0.0;0.0;0.0;1;0.05886254437575328;0
167426;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3366.83;0.0;0.0;0.0;0.0;-1;-0.02466395757170592;1
296906;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.28;0.0;0.0;0.0;0.0;1;0.06030616837128039;0
296991;2007;5;0.0;0.0;0.0;0.0;0.0;528.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0013090505970619892;0
297006;2007;5;0.0;0.0;0.0;0.0;0.0;850.3;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.010213455594640375;1
297083;2007;5;0.0;0.0;0.0;0.0;0.0;826.29;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.006751724204946519;1
297612;2007;5;0.0;0.0;0.0;0.0;0.0;150.16;0.0;0.0;0.0;0.0;0.0;0.0;1;0.030260004494712556;0
14097;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.02119393270390424;0
14184;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.03399909670871726;0
17695;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1;0.047278388125366666;0
18427;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463.7;0.0;0.0;0.0;0.0;1;0.05997249831770579;0
18687;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;733.33;0.0;0.0;0.0;0.0;1;0.05212811401435824;0
130706;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2596.92;0.0;0.0;0.0;0.0;1;0.0034788042455438095;0
130920;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.22;0.0;0.0;0.0;0.0;1;0.059494169803596675;0
140996;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;808.67;0.0;0.0;0.0;0.0;1;0.05079948432896675;0
140998;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.9;0.0;0.0;0.0;0.0;1;0.019627284939468526;0
167224;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;542.06;0.0;0.0;0.0;0.0;1;0.05642751198507495;0
167298;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.21;0.0;0.0;0.0;0.0;1;0.05886254437575328;0
167426;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3366.83;0.0;0.0;0.0;0.0;-1;-0.02466395757170592;1
296906;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.28;0.0;0.0;0.0;0.0;1;0.06030616837128039;0
296991;2007;6;0.0;0.0;0.0;0.0;0.0;528.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0013090505970619892;0
297006;2007;6;0.0;0.0;0.0;0.0;0.0;850.3;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.010213455594640375;1
297083;2007;6;0.0;0.0;0.0;0.0;0.0;826.29;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.006751724204946519;1
297612;2007;6;0.0;0.0;0.0;0.0;0.0;150.16;0.0;0.0;0.0;0.0;0.0;0.0;1;0.030260004494712556;0
14097;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.019904235841944118;0
14184;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1327.15;0.0;0.0;0.0;0.0;1;0.03184565793308747;0
17695;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.33;0.0;0.0;0.0;0.0;1;0.046800107458766504;0
18427;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.16;0.0;0.0;0.0;0.0;1;0.058774682497837794;0
18687;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.36;0.0;0.0;0.0;0.0;1;0.05125533166998353;0
130706;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2689.11;0.0;0.0;0.0;0.0;1;0.0004574416028853001;0
130920;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.19;0.0;0.0;0.0;0.0;1;0.05979409574978606;0
140996;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.0494376852896371;0
167224;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.057098839785717725;0
167298;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.06016193105383144;0
167426;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3486.35;0.0;0.0;0.0;0.0;-1;-0.030150212109389174;1
296906;2007;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.05813978460691693;0
296991;2007;7;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0014957559299740852;0
297006;2007;7;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0127602777292114;1
297083;2007;7;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.012377414318359148;1
297612;2007;7;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.02996898262821912;0
14097;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.019904235841944118;0
17695;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.33;0.0;0.0;0.0;0.0;1;0.046800107458766504;0
18427;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.16;0.0;0.0;0.0;0.0;1;0.058774682497837794;0
18687;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.36;0.0;0.0;0.0;0.0;1;0.05125533166998353;0
130706;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2689.11;0.0;0.0;0.0;0.0;1;0.0004574416028853001;0
130920;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.19;0.0;0.0;0.0;0.0;1;0.05979409574978606;0
131686;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;792.12;792.12;0.0;0.0;0.0;1;0.004470922071533656;0
140996;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.0494376852896371;0
167224;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.057098839785717725;0
167298;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.06016193105383144;0
167426;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3486.35;0.0;0.0;0.0;0.0;-1;-0.030150212109389174;1
296906;2007;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.05813978460691693;0
296991;2007;8;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0014957559299740852;0
297006;2007;8;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0127602777292114;1
297083;2007;8;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.012377414318359148;1
297612;2007;8;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.02996898262821912;0
14097;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.019904235841944118;0
17695;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.33;0.0;0.0;0.0;0.0;1;0.046800107458766504;0
18427;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.16;0.0;0.0;0.0;0.0;1;0.058774682497837794;0
18687;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.36;0.0;0.0;0.0;0.0;1;0.05125533166998353;0
130706;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2689.11;0.0;0.0;0.0;0.0;1;0.0004574416028853001;0
130920;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.19;0.0;0.0;0.0;0.0;1;0.05979409574978606;0
131686;2007;9;0.0;0.0;0.0;627.1;0.0;0.0;0.0;792.12;0.0;0.0;0.0;0.0;1;0.12857808752631122;0
140996;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.0494376852896371;0
167224;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.057098839785717725;0
167298;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.06016193105383144;0
167426;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3486.35;0.0;0.0;0.0;0.0;-1;-0.030150212109389174;1
296906;2007;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.05813978460691693;0
296991;2007;9;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0014957559299740852;0
297006;2007;9;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0127602777292114;1
297083;2007;9;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.012377414318359148;1
297612;2007;9;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.02996898262821912;0
14097;2007;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.019904235841944118;0
