isn_vinculo;num_ano;num_mes;15;39;97;188;207;1367;1369;IF_label;IF_score;anomalo
305943;2007;3;376.89;1004.76;0.0;0.0;1356.8;0.0;0.0;1;0.09841557323385564;0
320541;2007;3;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1;0.09680872998820339;0
305943;2007;4;376.89;1004.76;0.0;0.0;1356.8;0.0;0.0;1;0.09841557323385564;0
320541;2007;4;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1;0.09680872998820339;0
305943;2007;5;376.89;1004.76;0.0;0.0;1356.8;0.0;0.0;1;0.09841557323385564;0
320541;2007;5;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1;0.09680872998820339;0
305943;2007;6;376.89;1004.76;0.0;0.0;1356.8;0.0;0.0;1;0.09841557323385564;0
320541;2007;6;430.43;0.0;0.0;154.96;1549.56;0.0;0.0;1;0.09680872998820339;0
305943;2007;7;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;7;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2007;8;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;8;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2007;9;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;9;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2007;10;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;10;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2007;11;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;11;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2007;12;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.11143761687620002;0
320541;2007;12;445.71;0.0;0.0;160.46;1604.57;0.0;0.0;1;0.09085808206435025;0
305943;2008;1;390.27;1040.44;0.0;0.0;1404.98;0.0;0.0;1;0.10162521131118785;0
