isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;anomalo
320529;2008;10;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.1700110046837484;0
147818;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.1700110046837484;0
297568;2008;11;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.10688414890644443;0
320529;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.1700110046837484;0
147818;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.1700110046837484;0
297568;2008;12;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.10688414890644443;0
320529;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.1700110046837484;0
147818;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.054595412312444136;0
297568;2009;1;2642.64;396.4;1013.01;0.0;0.0;0.0;-1;-0.06716885595196675;1
320529;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.054595412312444136;0
147818;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;2;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;3;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;4;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;5;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;6;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;7;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;8;2790.0;418.5;0.0;0.0;0.0;80.62;-1;-0.0529272040010913;1
320529;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;9;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;10;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;11;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
297568;2009;12;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.14611691777022257;0
320529;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.17693577588845688;0
147818;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;1;3060.0;459.0;1173.0;0.0;0.0;0.0;-1;-0.03657033309440039;1
320529;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
147818;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;2;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.11257510097478962;0
320529;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
147818;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;3;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.11257510097478962;0
320529;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;4;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.11257510097478962;0
320529;2010;4;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;5;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.11257510097478962;0
320529;2010;5;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;6;3060.0;459.0;0.0;0.0;0.0;0.0;1;0.11257510097478962;0
320529;2010;6;0.0;765.0;0.0;0.0;2754.0;0.0;1;0.101252345610781;0
297568;2010;7;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1171656498007238;0
320529;2010;7;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2010;8;3208.1;481.22;0.0;0.0;0.0;83.32;-1;-0.04070069018238687;1
320529;2010;8;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2010;9;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1171656498007238;0
320529;2010;9;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2010;10;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1171656498007238;0
320529;2010;10;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2010;11;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1171656498007238;0
320529;2010;11;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2010;12;3208.1;481.22;0.0;0.0;0.0;0.0;1;0.1171656498007238;0
320529;2010;12;0.0;802.03;0.0;0.0;2887.29;0.0;1;0.07919015503258908;0
297568;2011;1;3240.0;486.0;0.0;0.0;0.0;0.0;1;0.07814280690485087;0
320529;2011;1;0.0;810.0;0.0;0.0;2916.0;0.0;1;0.01788541411429534;0
297568;2011;2;3240.0;486.0;1242.0;0.0;0.0;0.0;-1;-0.05163355332035735;1
320529;2011;2;0.0;810.0;0.0;0.0;2916.0;0.0;1;0.01788541411429534;0
297568;2011;3;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;3;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;4;3270.0;490.5;0.0;15.69;0.0;0.0;-1;-0.0032842996093226384;1
320529;2011;4;0.0;817.5;0.0;23.22;2943.0;0.0;-1;-0.07293418675144403;1
297568;2011;5;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;5;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;6;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;6;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;7;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;7;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;8;3270.0;490.5;0.0;0.0;0.0;85.34;-1;-0.04032952614086127;1
320529;2011;8;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;9;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;9;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;10;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;10;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;11;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;11;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2011;12;3270.0;490.5;0.0;0.0;0.0;0.0;1;0.13519764279455504;0
320529;2011;12;0.0;817.5;0.0;0.0;2943.0;0.0;1;0.10260399545545112;0
297568;2012;1;3732.0;559.8;1430.6;0.0;0.0;0.0;1;0.019641961765056504;0
320529;2012;1;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;2;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;2;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;3;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;3;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;4;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;4;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;5;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;5;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;6;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;6;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;7;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;7;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;8;3732.0;559.8;0.0;0.0;0.0;86.36;1;0.0026871542258093406;0
320529;2012;8;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;9;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;9;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;10;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
320529;2012;10;0.0;933.0;0.0;0.0;3358.8;0.0;1;0.16678096838306972;0
297568;2012;11;3732.0;559.8;0.0;0.0;0.0;0.0;1;0.19430522506965647;0
