isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;anomalo
297091;2007;3;0.0;3481.38;870.35;0.0;0.0;0.0;0.0;0.0;3481.38;0.0;0.0;0.0;0.0;0.0;1;0.118844475390116;0
297175;2007;3;0.0;3890.57;1945.29;965.33;1363.58;0.0;0.0;0.0;1561.66;0.0;0.0;0.0;0.0;0.0;1;0.09908616887155425;0
297608;2007;3;958.73;0.0;95.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14738944901204937;0
297091;2007;4;0.0;3481.38;870.35;0.0;0.0;0.0;0.0;0.0;3481.38;0.0;0.0;0.0;0.0;0.0;1;0.118844475390116;0
297175;2007;4;0.0;3890.57;1945.29;965.33;1363.58;0.0;0.0;0.0;1561.66;0.0;0.0;0.0;0.0;0.0;1;0.09908616887155425;0
297608;2007;4;958.73;0.0;95.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14738944901204937;0
297091;2007;5;0.0;3481.38;870.35;0.0;0.0;0.0;0.0;0.0;3481.38;0.0;0.0;0.0;0.0;0.0;1;0.118844475390116;0
297175;2007;5;0.0;3890.57;1945.29;965.33;1363.58;0.0;0.0;0.0;1561.66;0.0;0.0;0.0;0.0;0.0;1;0.09908616887155425;0
297608;2007;5;958.73;0.0;95.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14738944901204937;0
297091;2007;6;0.0;3481.38;870.35;0.0;0.0;0.0;0.0;0.0;3481.38;0.0;0.0;0.0;0.0;0.0;1;0.118844475390116;0
297175;2007;6;0.0;3890.57;1945.29;965.33;1363.58;0.0;0.0;0.0;1561.66;0.0;0.0;0.0;0.0;0.0;1;0.09908616887155425;0
