isn_vinculo;num_ano;num_mes;8;15;39;97;207;324;1367;1369;IF_label;IF_score;anomalo
331571;2009;7;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2009;8;2687.79;1075.12;7931.19;0.0;0.0;366.4;0.0;0.0;1;0.07713548175271379;0
331571;2009;8;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2009;9;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.22422210479147747;0
331571;2009;9;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2009;10;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.22422210479147747;0
331571;2009;10;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2009;11;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.22422210479147747;0
331571;2009;11;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2009;12;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.22422210479147747;0
331571;2009;12;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.20949881537180637;0
296961;2010;1;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;1;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;2;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;2;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;3;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;3;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;4;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;4;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;5;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;5;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;6;2687.79;1075.12;7931.19;0.0;0.0;0.0;0.0;0.0;1;0.2401656821736809;0
331571;2010;6;0.0;564.44;0.0;0.0;3762.91;0.0;0.0;0.0;1;0.2185820751997808;0
296961;2010;7;2817.88;1127.15;8315.06;0.0;0.0;0.0;0.0;0.0;1;0.22896930352486028;0
331571;2010;7;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2010;8;2817.88;1127.15;8315.06;0.0;0.0;378.74;0.0;0.0;1;0.07263217709992931;0
331571;2010;8;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2010;9;2817.88;1127.15;8315.06;0.0;0.0;0.0;0.0;0.0;1;0.22896930352486028;0
331571;2010;9;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2010;10;2817.88;1127.15;8315.06;0.0;0.0;0.0;0.0;0.0;1;0.22896930352486028;0
331571;2010;10;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2010;11;2817.88;1127.15;8315.06;0.0;0.0;0.0;0.0;0.0;1;0.22896930352486028;0
331571;2010;11;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2010;12;2817.88;1127.15;8315.06;0.0;0.0;0.0;0.0;0.0;1;0.22896930352486028;0
331571;2010;12;0.0;591.75;0.0;0.0;3945.03;0.0;0.0;0.0;1;0.21219640955462193;0
296961;2011;1;2958.77;1183.51;8730.81;0.0;0.0;0.0;0.0;0.0;1;0.07167409343521869;0
331571;2011;1;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;2;2958.77;1183.51;8730.81;0.0;0.0;0.0;0.0;0.0;1;0.07167409343521869;0
331571;2011;2;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;3;2958.77;1183.51;8730.81;0.0;0.0;0.0;0.0;0.0;1;0.07167409343521869;0
331571;2011;3;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;4;2958.77;1183.51;8730.81;31.17;0.0;0.0;0.0;0.0;-1;-0.06878738285672681;1
331571;2011;4;0.0;621.34;0.0;23.77;4142.28;0.0;0.0;0.0;-1;-0.0021762344963007774;1
296961;2011;5;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;5;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;6;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;6;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;7;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;7;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;8;0.0;1183.51;8730.81;0.0;2958.77;387.86;0.0;0.0;-1;-0.028905943665003875;1
331571;2011;8;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;9;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;9;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;10;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;10;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;11;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;11;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2011;12;0.0;1183.51;8730.81;0.0;2958.77;0.0;0.0;0.0;1;0.1709016601393017;0
331571;2011;12;0.0;621.34;0.0;0.0;4142.28;0.0;0.0;0.0;1;0.18875237074864398;0
296961;2012;1;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;1;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;2;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;2;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;3;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;3;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;4;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;4;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;5;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;5;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;6;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;6;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;7;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;7;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;8;3165.88;1266.35;9341.97;0.0;0.0;392.54;0.0;0.0;1;0.05209713449593467;0
331571;2012;8;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;9;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;9;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;10;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;10;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;11;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;11;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2012;12;3165.88;1266.35;9341.97;0.0;0.0;0.0;0.0;0.0;1;0.2470297530041457;0
331571;2012;12;0.0;664.83;0.0;0.0;4432.23;0.0;0.0;0.0;1;0.22786636884016936;0
296961;2013;1;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
331571;2013;1;0.0;701.93;0.0;0.0;4679.56;0.0;0.0;0.0;1;0.0;0
296961;2013;2;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
331571;2013;2;0.0;701.93;0.0;0.0;4679.56;0.0;0.0;0.0;1;0.0;0
296961;2013;3;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
331571;2013;3;0.0;701.93;0.0;0.0;4679.56;0.0;0.0;0.0;1;0.0;0
296961;2013;4;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
331571;2013;4;0.0;701.93;0.0;0.0;4679.56;0.0;0.0;0.0;1;0.0;0
296961;2013;5;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
