isn_vinculo;num_ano;num_mes;8;15;39;41;54;70;97;140;188;207;324;1236;1367;1369;IF_label;IF_score;anomalo
266665;2007;3;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.04676111822454998;0
297048;2007;3;4134.82;620.22;0.0;826.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08031223351271843;0
320547;2007;3;0.0;905.73;0.0;724.58;0.0;0.0;0.0;0.0;0.0;3622.91;0.0;0.0;0.0;0.0;1;0.05412152733275033;0
331362;2007;3;0.0;1732.86;0.0;1247.66;0.0;0.0;0.0;0.0;0.0;6238.31;0.0;0.0;0.0;0.0;1;0.0;0
331373;2007;3;3544.14;531.62;586.13;708.83;1790.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.03553346760302656;1
266665;2007;4;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.04676111822454998;0
297048;2007;4;4134.82;620.22;0.0;826.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08031223351271843;0
320547;2007;4;0.0;905.73;0.0;724.58;0.0;0.0;0.0;0.0;0.0;3622.91;0.0;0.0;0.0;0.0;1;0.05412152733275033;0
331362;2007;4;0.0;1732.86;0.0;1247.66;0.0;0.0;0.0;0.0;0.0;6238.31;0.0;0.0;0.0;0.0;1;0.0;0
331373;2007;4;3544.14;531.62;586.13;708.83;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06952375325101756;0
266665;2007;5;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.04676111822454998;0
297048;2007;5;4134.82;620.22;0.0;826.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08031223351271843;0
320547;2007;5;0.0;905.73;0.0;724.58;0.0;0.0;0.0;0.0;0.0;3622.91;0.0;0.0;0.0;0.0;1;0.05412152733275033;0
331362;2007;5;0.0;1732.86;0.0;1247.66;0.0;0.0;0.0;0.0;0.0;6238.31;0.0;0.0;0.0;0.0;1;0.0;0
331373;2007;5;3544.14;531.62;586.13;708.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.04448906791629309;0
266665;2007;6;4003.56;800.71;0.0;800.71;0.0;0.0;0.0;0.0;280.74;0.0;0.0;0.0;0.0;0.0;1;0.04676111822454998;0
297048;2007;6;4134.82;620.22;0.0;826.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08031223351271843;0
320547;2007;6;0.0;905.73;0.0;724.58;0.0;0.0;0.0;0.0;0.0;3622.91;0.0;0.0;0.0;0.0;1;0.05412152733275033;0
331362;2007;6;0.0;1732.86;0.0;1247.66;0.0;0.0;0.0;0.0;0.0;6238.31;0.0;0.0;0.0;0.0;1;0.0;0
331373;2007;6;3544.14;531.62;586.13;708.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.04448906791629309;0
266665;2007;7;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.04743525929337622;0
297048;2007;7;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07167452468496194;0
320547;2007;7;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;7;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;7;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05586916122859914;0
266665;2007;8;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;203.92;0.0;0.0;0.0;-1;-0.024893321133170665;1
297048;2007;8;4281.61;642.24;0.0;856.32;1926.72;0.0;0.0;0.0;0.0;0.0;277.08;0.0;0.0;0.0;-1;-0.08464868871962306;1
320547;2007;8;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;8;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;8;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;198.64;0.0;0.0;0.0;-1;-0.011612291372845918;1
266665;2007;9;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.04743525929337622;0
297048;2007;9;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07167452468496194;0
320547;2007;9;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;9;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;9;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05586916122859914;0
266665;2007;10;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.04743525929337622;0
297048;2007;10;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07167452468496194;0
320547;2007;10;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;10;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;10;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05586916122859914;0
266665;2007;11;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.04743525929337622;0
297048;2007;11;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07167452468496194;0
320547;2007;11;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;11;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;11;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05586916122859914;0
266665;2007;12;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.04743525929337622;0
297048;2007;12;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07167452468496194;0
320547;2007;12;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.062438036558865984;0
331362;2007;12;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;-1;-0.0016095108926905688;1
331373;2007;12;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05586916122859914;0
266665;2008;1;4145.69;829.14;0.0;829.14;2031.56;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.022143136386314155;0
297048;2008;1;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12968725968172068;0
320547;2008;1;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;1;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;1;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;2;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.0950985099033615;0
297048;2008;2;4281.61;642.24;0.0;856.32;1926.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.056176624713566936;0
320547;2008;2;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;2;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;2;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;3;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.0950985099033615;0
297048;2008;3;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12968725968172068;0
320547;2008;3;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;3;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;3;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;4;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.0950985099033615;0
297048;2008;4;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12968725968172068;0
320547;2008;4;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;4;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;4;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;5;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.0950985099033615;0
297048;2008;5;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12968725968172068;0
320547;2008;5;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;5;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;5;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;6;4145.69;829.14;0.0;829.14;0.0;0.0;0.0;0.0;290.71;0.0;0.0;0.0;0.0;0.0;1;0.0950985099033615;0
297048;2008;6;4281.61;642.24;0.0;856.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12968725968172068;0
320547;2008;6;0.0;937.88;0.0;750.31;0.0;0.0;0.0;0.0;0.0;3751.53;0.0;0.0;0.0;0.0;1;0.10015950288246733;0
331362;2008;6;0.0;1794.38;0.0;1291.95;0.0;0.0;0.0;0.0;0.0;6459.77;0.0;0.0;0.0;0.0;1;0.04087447855513876;0
331373;2008;6;3669.96;550.49;606.94;733.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07741684364778567;0
266665;2008;7;4399.82;879.96;0.0;879.96;2156.09;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.007223659518018288;0
297048;2008;7;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1167914956299742;0
320547;2008;7;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;7;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;7;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0890151392717819;0
266665;2008;8;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;213.42;0.0;0.0;0.0;1;0.00631759368225715;0
297048;2008;8;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;290.0;0.0;0.0;0.0;1;0.00623150655629523;0
320547;2008;8;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;8;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;8;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;207.9;0.0;0.0;0.0;1;0.007725044738651321;0
266665;2008;9;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08802277936292185;0
297048;2008;9;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1167914956299742;0
320547;2008;9;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;9;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;9;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0890151392717819;0
266665;2008;10;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08802277936292185;0
297048;2008;10;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1167914956299742;0
320547;2008;10;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;10;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;10;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0890151392717819;0
266665;2008;11;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08802277936292185;0
297048;2008;11;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1167914956299742;0
320547;2008;11;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;11;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;11;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0890151392717819;0
266665;2008;12;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.08802277936292185;0
297048;2008;12;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1167914956299742;0
320547;2008;12;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.104043674202696;0
331362;2008;12;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.011042336533696462;0
331373;2008;12;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0890151392717819;0
266665;2009;1;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.09591327674875372;0
297048;2009;1;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.128000282340751;0
320547;2009;1;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.10545703782310872;0
331362;2009;1;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.03848861995702901;0
331373;2009;1;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07504534450284922;0
266665;2009;2;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.09591327674875372;0
297048;2009;2;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.128000282340751;0
320547;2009;2;0.0;995.37;0.0;796.3;0.0;0.0;0.0;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.10545703782310872;0
331362;2009;2;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.03848861995702901;0
331373;2009;2;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07504534450284922;0
266665;2009;3;4399.82;879.96;0.0;879.96;0.0;0.0;0.0;0.0;308.53;0.0;0.0;0.0;0.0;0.0;1;0.09591327674875372;0
297048;2009;3;4544.07;681.61;0.0;908.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.128000282340751;0
320547;2009;3;0.0;995.37;0.0;796.3;0.0;0.0;135.8;0.0;0.0;3981.5;0.0;0.0;0.0;0.0;1;0.01846006078662843;0
331362;2009;3;0.0;1904.38;0.0;1371.15;0.0;0.0;0.0;0.0;0.0;6855.75;0.0;0.0;0.0;0.0;1;0.03848861995702901;0
331373;2009;3;3894.93;584.24;644.14;778.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07504534450284922;0
