isn_vinculo;num_ano;num_mes;8;15;54;86;199;324;1232;1352;1367;1369;1404;IF_label;IF_score;anomalo
297565;2011;2;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;3;1423.2;142.32;521.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1342576848400715;0
297565;2011;4;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;5;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;6;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;7;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;8;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;9;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;10;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;11;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2011;12;1423.2;142.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2612403461360836;0
297565;2012;1;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19931497186986025;0
297565;2012;2;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19931497186986025;0
297565;2012;3;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19931497186986025;0
297565;2012;4;1522.82;152.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19931497186986025;0
297565;2012;5;1678.94;167.89;0.0;1644.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15214565987662082;0
297565;2012;6;1678.94;167.89;0.0;1644.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15214565987662082;0
297565;2012;7;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
297565;2012;8;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
297565;2012;9;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
297565;2012;10;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
