isn_vinculo;num_ano;num_mes;15;97;207;1367;1369;IF_label;IF_score;anomalo
296897;2007;3;659.22;0.0;2197.41;0.0;0.0;1;0.13322189434927356;0
331445;2007;3;697.0;0.0;2090.99;0.0;0.0;1;0.12622886296214825;0
296897;2007;4;659.22;0.0;2197.41;0.0;0.0;1;0.13322189434927356;0
331445;2007;4;697.0;0.0;2090.99;0.0;0.0;1;0.12622886296214825;0
296897;2007;5;659.22;0.0;2197.41;0.0;0.0;1;0.13322189434927356;0
331445;2007;5;697.0;0.0;2090.99;0.0;0.0;1;0.12622886296214825;0
296897;2007;6;659.22;0.0;2197.41;0.0;0.0;1;0.13322189434927356;0
331445;2007;6;697.0;0.0;2090.99;0.0;0.0;1;0.12622886296214825;0
296897;2007;7;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;7;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2007;8;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;8;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2007;9;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;9;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2007;10;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;10;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2007;11;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;11;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2007;12;682.63;0.0;2275.42;0.0;0.0;1;0.11545224277137806;0
331445;2007;12;721.74;0.0;2165.22;0.0;0.0;1;0.1337924888807261;0
296897;2008;1;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;1;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;2;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;2;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;3;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;3;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;4;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;4;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;5;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;5;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;6;682.63;0.0;2275.42;0.0;0.0;1;0.15869217510614314;0
331445;2008;6;721.74;0.0;2165.22;0.0;0.0;1;0.16391859960498745;0
296897;2008;7;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;7;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2008;8;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;8;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2008;9;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;9;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2008;10;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;10;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2008;11;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;11;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2008;12;724.47;0.0;2414.9;0.0;0.0;1;0.135498216164893;0
331445;2008;12;765.98;0.0;2297.95;0.0;0.0;1;0.15100984710054216;0
296897;2009;1;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;1;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;2;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;2;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;3;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;3;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;4;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;4;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;5;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;5;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;6;724.47;0.0;2414.9;0.0;0.0;1;0.1593425092437425;0
331445;2009;6;765.98;0.0;2297.95;0.0;0.0;1;0.16564358469312557;0
296897;2009;7;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;7;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2009;8;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;8;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2009;9;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;9;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2009;10;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;10;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2009;11;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;11;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2009;12;767.94;0.0;2559.79;0.0;0.0;1;0.13866008843975414;0
331445;2009;12;811.94;0.0;2435.83;0.0;0.0;1;0.15200095656557366;0
296897;2010;1;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;1;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;2;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;2;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;3;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;3;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;4;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;4;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;5;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;5;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;6;767.94;0.0;2559.79;0.0;0.0;1;0.15949946797463205;0
331445;2010;6;811.94;0.0;2435.83;0.0;0.0;1;0.16040536660044952;0
296897;2010;7;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;7;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2010;8;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;8;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2010;9;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;9;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2010;10;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;10;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2010;11;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;11;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2010;12;805.1;0.0;2683.68;0.0;0.0;1;0.12483605604119924;0
331445;2010;12;851.24;0.0;2553.72;0.0;0.0;1;0.14256759195295082;0
296897;2011;1;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;1;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;2;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;2;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;3;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;3;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;4;845.36;14.27;2817.86;0.0;0.0;-1;-0.1562760060988141;1
331445;2011;4;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;5;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;5;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;6;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;6;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;7;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;7;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;8;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;8;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;9;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;9;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;10;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;10;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;11;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;11;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2011;12;845.36;0.0;2817.86;0.0;0.0;1;0.13243168250909754;0
331445;2011;12;893.8;0.0;2681.41;0.0;0.0;1;0.129037585101705;0
296897;2012;1;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;1;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;2;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;2;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;3;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;3;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;4;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;4;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;5;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;5;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;6;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;6;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;7;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;7;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;8;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;8;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;9;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;9;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;10;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;10;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;11;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;11;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2012;12;904.53;0.0;3015.11;0.0;0.0;1;0.18064780347386422;0
331445;2012;12;956.37;0.0;2869.11;0.0;0.0;1;0.18864461279283218;0
296897;2013;1;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;1;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;2;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;2;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;3;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;3;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;4;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;4;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;5;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;5;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;6;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;6;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
296897;2013;7;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;7;1009.73;287.39;3029.19;0.0;0.0;-1;-0.1522878373737777;1
296897;2013;8;955.01;0.0;3183.35;0.0;0.0;1;0.13243168250909754;0
331445;2013;8;1009.73;0.0;3029.19;0.0;0.0;1;0.129037585101705;0
