isn_vinculo,cod_cargo,num_ano,num_mes,8,15,54,102,199,324
132136,D020,2007,8,0.3075486201860249,0.307479508196721,0.09999999999999964,0.0,0.0,0.10000000000000142
132136,D020,2007,3,0.09999999999999964,0.09999999999999964,0.0,0.0,0.0,0.0
132136,D020,2007,10,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2007,5,0.09999999999999964,0.09999999999999964,0.0,0.0,0.0,0.0
132136,D020,2007,12,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2007,7,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2007,6,0.09999999999999964,0.09999999999999964,0.0,0.0,0.0,0.0
132136,D020,2007,9,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2008,12,0.0,0.0,0.0,0.10000000000002274,0.0,0.0
132136,D020,2008,3,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2008,2,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2008,9,1.0,0.9999999999999991,0.9999999999999991,0.0,0.10000000000002274,0.0
132136,D020,2008,5,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2008,8,0.6787147359520329,0.6786372950819661,0.0,0.0,0.0,1.0000000000000036
132136,D020,2008,4,0.3075486201860249,0.307479508196721,0.0,0.0,0.0,0.0
132136,D020,2008,7,0.6787147359520329,0.6786372950819661,0.0,0.0,0.0,0.0
