isn_vinculo,cod_cargo,num_ano,num_mes,15,97,207,1367,1369
296897,E210,2007,11,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
296897,E210,2007,8,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2007,4,0.15124951014379162,0.0,0.09999999999999998,0.0,0.0
296897,E210,2007,6,0.09999999999999998,0.0,0.14132048853934331,0.0,0.0
331445,E210,2007,11,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
331445,E210,2007,9,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
331445,E210,2007,6,0.15124951014379162,0.0,0.09999999999999998,0.0,0.0
296897,E210,2007,5,0.09999999999999998,0.0,0.14132048853934331,0.0,0.0
296897,E210,2007,12,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2007,12,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
296897,E210,2007,7,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2007,5,0.15124951014379162,0.0,0.09999999999999998,0.0,0.0
296897,E210,2007,10,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2007,3,0.15124951014379162,0.0,0.09999999999999998,0.0,0.0
331445,E210,2007,7,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
296897,E210,2007,9,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
296897,E210,2008,10,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
331445,E210,2008,2,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
296897,E210,2008,2,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2008,10,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
296897,E210,2008,6,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
296897,E210,2008,3,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2008,1,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
331445,E210,2008,4,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
296897,E210,2008,4,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
296897,E210,2008,5,0.1317562475507189,0.0,0.17161001410741494,0.0,0.0
331445,E210,2008,11,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
331445,E210,2008,6,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
331445,E210,2008,9,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
331445,E210,2008,12,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
296897,E210,2008,8,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
296897,E210,2008,11,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
331445,E210,2008,3,0.18480993579115546,0.0,0.1288218367250089,0.0,0.0
331445,E210,2008,8,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
296897,E210,2008,7,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
296897,E210,2009,10,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
331445,E210,2009,2,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
296897,E210,2009,2,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
331445,E210,2009,10,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
296897,E210,2009,6,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
296897,E210,2009,3,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
331445,E210,2009,1,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
331445,E210,2009,4,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
296897,E210,2009,4,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
296897,E210,2009,5,0.18851324872637387,0.0,0.22576695586148,0.0,0.0
331445,E210,2009,11,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
331445,E210,2009,6,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
331445,E210,2009,9,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
331445,E210,2009,12,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
296897,E210,2009,8,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
296897,E210,2009,11,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
331445,E210,2009,3,0.24482259669007922,0.0,0.18035790554503373,0.0,0.0
331445,E210,2009,8,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
296897,E210,2009,7,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
296897,E210,2010,10,0.29788985017936276,0.0,0.33012817470760547,0.0,0.0
331445,E210,2010,2,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
296897,E210,2010,2,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
331445,E210,2010,10,0.3604799083592076,0.0,0.2796676344842165,0.0,0.0
296897,E210,2010,6,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
296897,E210,2010,3,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
331445,E210,2010,1,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
331445,E210,2010,4,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
296897,E210,2010,4,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
296897,E210,2010,5,0.24748138546408227,0.0,0.28202447873749426,0.0,0.0
331445,E210,2010,11,0.3604799083592076,0.0,0.2796676344842165,0.0,0.0
331445,E210,2010,6,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
331445,E210,2010,9,0.3604799083592076,0.0,0.2796676344842165,0.0,0.0
331445,E210,2010,12,0.3604799083592076,0.0,0.2796676344842165,0.0,0.0
296897,E210,2010,8,0.29788985017936276,0.0,0.33012817470760547,0.0,0.0
296897,E210,2010,11,0.29788985017936276,0.0,0.33012817470760547,0.0,0.0
331445,E210,2010,3,0.3071684803906791,0.0,0.23389360334436338,0.0,0.0
331445,E210,2010,8,0.3604799083592076,0.0,0.2796676344842165,0.0,0.0
296897,E210,2010,7,0.29788985017936276,0.0,0.33012817470760547,0.0,0.0
296897,E210,2011,10,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
331445,E210,2011,2,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
296897,E210,2011,2,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
331445,E210,2011,10,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
296897,E210,2011,6,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
296897,E210,2011,3,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
331445,E210,2011,1,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
331445,E210,2011,4,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
296897,E210,2011,4,0.3525035420371989,0.09999999999999964,0.3822272458616094,0.0,0.0
296897,E210,2011,5,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
331445,E210,2011,11,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
331445,E210,2011,6,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
331445,E210,2011,9,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
331445,E210,2011,12,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
296897,E210,2011,8,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
296897,E210,2011,11,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
331445,E210,2011,3,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
331445,E210,2011,8,0.4182136074518432,0.0,0.32924678484682457,0.0,0.0
296897,E210,2011,7,0.3525035420371989,0.0,0.3822272458616094,0.0,0.0
