isn_vinculo,cod_cargo,num_ano,num_mes,44,185,226,227
154406,E084,2010,11,0.0,0.0,0.8716236963311983,0.0
154406,E084,2010,7,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,5,0.0,0.0,0.7530943935623908,0.0
154404,E084,2010,3,0.0,0.10000000000000142,0.10000000000000009,0.0
154404,E084,2010,7,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,9,0.0,0.0,0.8716236963311983,0.0
154404,E084,2010,8,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,6,0.0,0.0,0.7530943935623908,0.0
154405,E084,2010,4,0.0,1.0000000000000036,0.7530943935623908,0.0
154406,E084,2010,5,0.0,0.0,0.7530943935623908,0.0
154404,E084,2010,4,0.0,1.0000000000000036,0.7530943935623908,0.0
154404,E084,2010,5,0.0,0.0,0.7530943935623908,0.0
154406,E084,2010,8,0.0,0.0,0.8716236963311983,0.0
154404,E084,2010,6,0.0,0.0,0.7530943935623908,0.0
154406,E084,2010,4,0.0,1.0000000000000036,0.7530943935623908,0.0
154406,E084,2010,9,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,11,0.0,0.0,0.8716236963311983,0.0
154406,E084,2010,12,0.0,0.0,0.8716236963311983,0.0
154406,E084,2010,3,0.0,0.10000000000000142,0.10000000000000009,0.0
154404,E084,2010,10,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,3,0.0,0.10000000000000142,0.10000000000000009,0.0
154405,E084,2010,7,0.0,0.0,0.8716236963311983,0.0
154405,E084,2010,12,0.0,0.0,0.8716236963311983,0.0
154404,E084,2010,9,0.0,0.0,0.8716236963311983,0.0
154405,E084,2011,3,0.09999999999990905,0.0,0.0,0.10000000000002274
154404,E084,2011,1,0.0,0.0,1.0000000000000002,0.0
154406,E084,2011,3,0.09999999999990905,0.0,0.0,0.10000000000002274
154404,E084,2011,3,0.09999999999990905,0.0,0.0,0.10000000000002274
154405,E084,2011,2,0.0,0.0,1.0000000000000002,0.0
154405,E084,2011,1,0.0,0.0,1.0000000000000002,0.0
154406,E084,2011,1,0.0,0.0,1.0000000000000002,0.0
