isn_vinculo,cod_cargo,num_ano,num_mes,8,15,18,39,97,140,160,165,207,1454
173063,C015,2007,8,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2007,3,0.0,0.574427372603073,0.10000000000000009,0.10000000000000009,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,0.0
173063,C015,2007,10,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2007,5,0.0,0.574427372603073,0.10000000000000009,0.10000000000000009,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,0.0
173063,C015,2007,12,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2007,7,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2007,6,0.0,0.574427372603073,0.10000000000000009,0.10000000000000009,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,0.0
173063,C015,2007,9,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,9,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2008,6,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,3,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,2,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,12,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2008,5,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,8,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2008,4,0.0,0.5984351562816719,0.15070137274022954,0.15069873253168686,0.0,0.0,0.0,0.1507288268571665,0.1507171577747104,0.0
173063,C015,2008,7,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,9,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2009,6,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,3,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,2,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.09999999999999432,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,12,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2009,5,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,8,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2009,4,0.0,0.6413061985648844,0.24136973970444853,0.24140396490087745,0.0,0.0,0.0,0.24140892761283417,0.24140310868391035,0.0
173063,C015,2009,7,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2010,9,0.0,0.7239104876961122,0.4160903158052658,0.41611959701007506,0.0,0.0,0.0,0.41615394144609175,0.41613154894076687,0.0
173063,C015,2010,6,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2010,3,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2010,2,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
173063,C015,2010,12,0.0,0.7239104876961122,0.4160903158052658,0.41611959701007506,0.0,0.0,0.0,0.41615394144609175,0.41613154894076687,0.0
173063,C015,2010,5,0.0,0.6858555965459926,0.33561623284074704,0.3355866103347416,0.0,0.0,0.0,0.3356196060618575,0.335599831963032,0.0
