isn_vinculo,cod_cargo,num_ano,num_mes,44,102,185,226,227
154364,E163,2010,11,0.0,0.0,0.0,0.8588127558715795,0.0
154364,E163,2010,3,0.0,0.0,0.09999999999999432,0.10000000000000009,0.0
154364,E163,2010,6,0.0,0.0,0.0,0.7284529196293903,0.0
154363,E163,2010,5,0.0,0.0,0.0,0.7284529196293903,0.0
154363,E163,2010,4,0.0,0.0,0.0,0.7284529196293903,0.0
154364,E163,2010,12,0.0,0.0,0.0,0.8588127558715795,0.0
154363,E163,2010,7,0.09999999999999998,0.10000000000002274,0.0,0.0,0.10000000000000009
154364,E163,2010,5,0.0,0.0,0.0,0.7284529196293903,0.0
154364,E163,2010,8,0.0,0.0,0.0,0.8588127558715795,0.0
154364,E163,2010,10,0.0,0.0,0.0,0.8588127558715795,0.0
154363,E163,2010,6,0.0,0.0,0.0,0.7284529196293903,0.0
154364,E163,2010,4,0.0,0.0,0.0,0.7284529196293903,0.0
154364,E163,2011,2,0.0,0.0,0.0,1.0,0.0
154364,E163,2011,3,1.0,0.0,0.0,0.0,1.0000000000000004
