isn_vinculo,cod_cargo,num_ano,num_mes,97,102,140,160,161,302,303,305,316,317,1249,1367,1369
173195,V005,2007,11,0.0,0.0,0.0,0.0,0.0,0.1821541984341491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305866,V005,2007,11,0.0,0.0,0.0,0.0,0.0,0.20493237335490247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174528,V005,2007,10,0.0,0.0,0.0,0.0,0.0,0.1251690310122779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174165,V005,2007,8,0.0,0.0,0.0,0.0,0.0,0.33168939875085085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11372,V005,2007,6,0.0,0.0,0.0,0.0,0.0,0.1228800634542705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18789,V005,2007,11,0.0,0.0,0.0,0.0,0.0,0.15014902355042023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331597,V005,2007,9,0.0,0.0,0.0,0.0,0.0,0.5365865988454057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331597,V005,2007,4,0.0,0.0,0.0,0.0,0.0,0.5214058481597408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174256,V005,2007,4,0.0,0.0,0.0,0.0,0.0,0.14913910953266557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140919,V005,2007,6,0.0,0.0,0.0,0.15649490897871027,0.0,0.11803042558221002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331567,V005,2007,3,0.0,0.0,0.0,0.15649490897871027,0.0,0.11803042558221002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173195,V005,2007,4,0.0,0.0,0.0,0.0,0.0,0.17912445638088512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173229,V005,2007,7,0.0,0.0,0.0,0.0,0.0,0.1329535712963411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174165,V005,2007,9,0.0,0.0,0.0,0.0,0.0,0.33168939875085085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296985,V005,2007,10,0.0,0.0,0.0,0.0,0.0,0.1466021491289278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173268,V005,2007,4,0.0,0.0,0.0,0.0,0.0,0.12530552319868762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173263,V005,2007,7,0.0,0.0,0.0,0.0,0.0,0.1412392237389603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174305,V005,2007,8,0.0,0.0,0.0,0.0,0.0,0.2073559106741589,0.0,0.09999999999999432,0.0,0.0,0.0,0.0,0.0
174301,V005,2007,5,0.0,0.0,0.0,0.0,0.0,0.128942751602733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176708,V005,2007,6,0.0,0.0,0.0,0.0,0.0,0.18442586416571022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320559,V005,2007,5,0.0,0.0,0.0,0.0,0.0,0.37125995745032314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305853,V005,2007,3,0.0,0.0,0.0,0.0,0.0,0.1943878713484602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296985,V005,2007,7,0.0,0.0,0.0,0.0,0.0,0.1466021491289278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172770,V005,2007,8,0.0,0.0,0.0,0.0,0.0,0.28926019383741697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173229,V005,2007,6,0.0,0.0,0.0,0.0,0.0,0.13161043691739838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173229,V005,2007,9,0.0,0.0,0.0,0.0,0.0,0.1329535712963411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18789,V005,2007,9,0.0,0.0,0.0,0.0,0.0,0.15014902355042023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140919,V005,2007,9,0.0,0.0,0.0,0.18822894168466522,0.0,0.11889103124581694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173507,V005,2007,6,0.0,0.0,0.0,0.0,0.0,0.1228800634542705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11372,V005,2007,10,0.0,0.0,0.0,0.0,0.0,0.12391304657395356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18789,V005,2007,12,0.0,0.0,0.0,0.0,0.0,0.15014902355042023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173303,V005,2007,3,0.0,0.0,0.0,0.0,0.0,0.1301551610707481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
