isn_vinculo,cod_cargo,num_ano,num_mes,169,171,293,294,324,346,1368
161723,W010,2007,3,0.0,0.3901554321966693,0.0,0.0,0.0,0.0,0.0
161726,W010,2007,4,0.0,0.3194829500396511,0.0,0.0,0.0,0.0,0.0
161788,W010,2007,10,0.1609501804639682,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161763,W010,2007,10,0.1609501804639682,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161777,W010,2007,11,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161741,W010,2007,4,0.0,0.3901554321966693,0.0,0.0,0.0,0.0,0.0
161763,W010,2007,12,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161738,W010,2007,3,0.0,0.3901554321966693,0.0,0.0,0.0,0.0,0.0
161777,W010,2007,10,0.1609501804639682,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161755,W010,2007,11,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161784,W010,2007,12,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161747,W010,2007,9,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161755,W010,2007,8,0.12210558039077804,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161791,W010,2007,11,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161585,W010,2007,5,0.0,0.6471229183187946,0.0,0.0,0.0,0.0,0.0
161747,W010,2007,12,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161741,W010,2007,5,0.0,0.3901554321966693,0.0,0.0,0.0,0.0,0.0
161759,W010,2007,12,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161747,W010,2007,7,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161788,W010,2007,11,0.0,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
161769,W010,2007,10,0.1609501804639682,0.4009183187946075,0.0,0.0,0.0,0.0,0.0
