isn_vinculo,cod_cargo,num_ano,num_mes,8,160,207,324
297042,C826,2007,8,0.1507093954843408,0.0,0.0,0.10000000000000009
297042,C826,2007,3,0.10000000000000009,0.0,0.0,0.0
297042,C826,2007,10,0.1507093954843408,0.0,0.0,0.0
297042,C826,2007,5,0.10000000000000009,0.0,0.0,0.0
297042,C826,2007,12,0.1507093954843408,0.0,0.0,0.0
297042,C826,2007,7,0.1507093954843408,0.0,0.0,0.0
297042,C826,2007,6,0.10000000000000009,0.0,0.0,0.0
297042,C826,2007,9,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,9,0.24137800436999268,0.0,0.0,0.0
297042,C826,2008,6,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,3,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,2,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,12,0.24137800436999268,0.0,0.0,0.0
297042,C826,2008,5,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,8,0.24137800436999268,0.0,0.0,0.2057046979865773
297042,C826,2008,4,0.1507093954843408,0.0,0.0,0.0
297042,C826,2008,7,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,9,0.3355600873998543,0.0,0.0,0.0
297042,C826,2009,6,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,3,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,2,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,12,0.3355600873998543,0.0,0.0,0.0
297042,C826,2009,5,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,8,0.3355600873998543,0.0,0.0,0.3567114093959731
297042,C826,2009,4,0.24137800436999268,0.0,0.0,0.0
297042,C826,2009,7,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,9,0.4161077931536781,0.0,0.0,0.0
297042,C826,2010,6,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,3,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,2,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,12,0.4161077931536781,0.0,0.0,0.0
297042,C826,2010,5,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,8,0.4161077931536781,0.0,0.0,0.49261744966442955
297042,C826,2010,4,0.3355600873998543,0.0,0.0,0.0
297042,C826,2010,7,0.4161077931536781,0.0,0.0,0.0
297042,C826,2011,9,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,6,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,3,0.5033415877640204,0.0,0.0,0.0
297042,C826,2011,2,0.5033415877640204,0.0,0.0,0.0
297042,C826,2011,12,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,5,0.5033415877640204,0.0,0.0,0.0
297042,C826,2011,8,0.0,0.0,0.10000000000002274,0.0
297042,C826,2011,4,0.5033415877640204,0.0,0.0,0.0
297042,C826,2011,7,0.0,0.0,0.10000000000002274,0.0
297042,C826,2012,9,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,6,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,3,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,2,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,12,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,5,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,8,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,4,0.6315833940276765,0.0,0.0,0.0
297042,C826,2012,7,0.6315833940276765,0.0,0.0,0.0
297042,C826,2013,9,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,6,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,3,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,2,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,12,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,5,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,8,0.7409468317552803,0.0,0.0,1.0
297042,C826,2013,4,0.7409468317552803,0.0,0.0,0.0
297042,C826,2013,7,0.7409468317552803,0.0,0.0,0.0
297042,C826,2014,9,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,6,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,3,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,2,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,12,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,5,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,8,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,4,0.8589104151493081,0.0,0.0,0.0
297042,C826,2014,7,0.8589104151493081,0.0,0.0,0.0
297042,C826,2015,9,1.0,0.0,0.0,0.0
297042,C826,2015,6,1.0,0.0,0.0,0.0
297042,C826,2015,3,1.0,0.0,0.0,0.0
297042,C826,2015,2,1.0,0.0,0.0,0.0
297042,C826,2015,12,1.0,0.0,0.0,0.0
297042,C826,2015,5,1.0,0.0,0.0,0.0
297042,C826,2015,8,1.0,0.0,0.0,0.0
297042,C826,2015,4,1.0,0.0,0.0,0.0
297042,C826,2015,7,1.0,0.0,0.0,0.0
297042,C826,2016,5,1.0,0.09999999999999964,0.0,0.0
297042,C826,2016,3,1.0,0.09999999999999964,0.0,0.0
297042,C826,2016,1,1.0,0.0,0.0,0.0
297042,C826,2016,4,1.0,0.09999999999999964,0.0,0.0
