isn_vinculo,cod_cargo,num_ano,num_mes,8,15,39,97,207,324,1367,1369
296961,E175,2009,8,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.5904247910863498,0.0,0.0
296961,E175,2009,11,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
331571,E175,2009,3,0.0,0.12933752013539143,0.0,0.0,0.3755497778100041,0.0,0.0,0.0
331571,E175,2009,8,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
296961,E175,2009,7,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
296961,E175,2010,10,0.47489598459756244,0.4930958546581573,0.2779566660979801,0.0,0.0,0.0,0.0,0.0
331571,E175,2010,2,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
296961,E175,2010,2,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
331571,E175,2010,10,0.0,0.165587341720531,0.0,0.0,0.5597281927511162,0.0,0.0,0.0
296961,E175,2010,6,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
296961,E175,2010,3,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
331571,E175,2010,1,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
331571,E175,2010,4,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
296961,E175,2010,4,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
296961,E175,2010,5,0.3793804761050106,0.4612686825846706,0.2326170947125289,0.0,0.0,0.0,0.0,0.0
331571,E175,2010,11,0.0,0.165587341720531,0.0,0.0,0.5597281927511162,0.0,0.0,0.0
331571,E175,2010,6,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
331571,E175,2010,9,0.0,0.165587341720531,0.0,0.0,0.5597281927511162,0.0,0.0,0.0
331571,E175,2010,12,0.0,0.165587341720531,0.0,0.0,0.5597281927511162,0.0,0.0,0.0
296961,E175,2010,8,0.47489598459756244,0.4930958546581573,0.2779566660979801,0.0,0.0,0.7837743732590523,0.0,0.0
296961,E175,2010,11,0.47489598459756244,0.4930958546581573,0.2779566660979801,0.0,0.0,0.0,0.0,0.0
331571,E175,2010,3,0.0,0.14888159370348478,0.0,0.0,0.4748360766115247,0.0,0.0,0.0
331571,E175,2010,8,0.0,0.165587341720531,0.0,0.0,0.5597281927511162,0.0,0.0,0.0
296961,E175,2010,7,0.47489598459756244,0.4930958546581573,0.2779566660979801,0.0,0.0,0.0,0.0,0.0
296961,E175,2011,10,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.0,0.0,0.0
331571,E175,2011,2,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
296961,E175,2011,2,0.5783411378877121,0.5275717227738924,0.32706164122888737,0.0,0.0,0.0,0.0,0.0
331571,E175,2011,10,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
296961,E175,2011,6,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.0,0.0,0.0
296961,E175,2011,3,0.5783411378877121,0.5275717227738924,0.32706164122888737,0.0,0.0,0.0,0.0,0.0
331571,E175,2011,1,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
331571,E175,2011,4,0.0,0.1836877841893849,0.0,0.1,0.6516728990356226,0.0,0.0,0.0
296961,E175,2011,4,0.5783411378877121,0.5275717227738924,0.32706164122888737,0.1004157913301889,0.0,0.0,0.0,0.0
296961,E175,2011,5,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.0,0.0,0.0
331571,E175,2011,11,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
331571,E175,2011,6,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
331571,E175,2011,9,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
331571,E175,2011,12,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
296961,E175,2011,8,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.9266713091921996,0.0,0.0
296961,E175,2011,11,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.0,0.0,0.0
331571,E175,2011,3,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
331571,E175,2011,8,0.0,0.1836877841893849,0.0,0.0,0.6516728990356226,0.0,0.0,0.0
296961,E175,2011,7,0.0,0.5275717227738924,0.32706164122888737,0.0,0.10000000000000009,0.0,0.0,0.0
296961,E175,2012,10,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
331571,E175,2012,2,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
296961,E175,2012,2,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
331571,E175,2012,10,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
296961,E175,2012,6,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
296961,E175,2012,3,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
