isn_vinculo,cod_cargo,num_ano,num_mes,8,15,54,79,86,199,207,324
297926,D410,2007,8,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,3,0.10000000000000009,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,10,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,5,0.10000000000000009,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,12,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,7,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,6,0.10000000000000009,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2007,9,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,9,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.10000000000002274,0.0,0.0
297926,D410,2008,6,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,3,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,2,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,12,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,5,0.14135287172720323,0.13598911070780406,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,8,0.21529550663240515,0.20039927404718705,0.0,0.0,0.0,0.0,0.0,0.09999999999999964
297926,D410,2008,4,0.14135287172720323,0.13598911070780406,0.10000000000000009,0.0,0.0,0.0,0.0,0.0
297926,D410,2008,7,0.21529550663240515,0.20039927404718705,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,9,0.359918049864574,0.326388384754991,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,6,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,3,0.27927494964928123,0.25615245009074405,0.2660965205754433,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,2,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,12,0.431160497256754,0.38845735027223227,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,5,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,8,0.359918049864574,0.326388384754991,0.0,0.0,0.0,0.0,0.0,0.5999999999999996
297926,D410,2009,4,0.27927494964928123,0.25615245009074405,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2009,7,0.359918049864574,0.326388384754991,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,9,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,6,0.5059906937981804,0.45362976406533584,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,3,0.431160497256754,0.38845735027223227,0.4490172298427568,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,2,0.431160497256754,0.38845735027223227,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,12,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,5,0.5059906937981804,0.45362976406533584,0.0,0.0,0.10000000000002274,0.0,0.0,0.0
297926,D410,2010,8,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,1.0
297926,D410,2010,4,0.431160497256754,0.38845735027223227,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2010,7,0.5820209736787278,0.51989110707804,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,9,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,6,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,3,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,2,0.6643641919577747,0.5915970961887477,0.7298720307795248,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,12,0.6643641919577747,0.5915970961887477,0.7298720307795248,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,5,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,8,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,4,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2011,7,0.6643641919577747,0.5915970961887477,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,9,0.7854100979234668,0.6970598911070779,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,6,0.7854100979234668,0.6970598911070779,0.0,0.0,0.0,0.0,0.0,0.0
297926,D410,2012,3,0.7854100979234668,0.6970598911070779,0.0,0.0,0.0,0.0,0.0,0.0
