isn_vinculo,cod_cargo,num_ano,num_mes,44,102,226,227,371
154377,D044,2010,7,0.0,0.0,0.9168757126567844,0.0,0.0
154377,D044,2010,8,0.0,0.0,0.9168757126567844,0.0,0.0
154377,D044,2010,3,0.0,0.0,0.09999999999999998,0.0,0.0
154378,D044,2010,5,0.0,0.0,0.8401264641857573,0.0,0.10000000000000142
154375,D044,2010,4,0.0,0.0,0.8401264641857573,0.0,0.0
154375,D044,2010,7,0.0,0.0,0.9168757126567844,0.0,0.0
154375,D044,2010,8,0.0,0.0,0.9168757126567844,0.0,0.0
154375,D044,2010,5,0.0,0.0,0.8401264641857573,0.0,0.0
154377,D044,2010,6,0.0,0.0,0.8401264641857573,0.0,0.0
154378,D044,2010,3,0.0,0.0,0.09999999999999998,0.0,0.0
154375,D044,2010,6,0.0,0.0,0.8401264641857573,0.0,0.0
154378,D044,2010,6,0.0,0.0,0.8401264641857573,0.0,0.10000000000000142
154378,D044,2010,4,0.0,0.0,0.8401264641857573,0.0,0.10000000000000142
154377,D044,2010,9,0.0,0.0,0.9168757126567844,0.0,0.0
154378,D044,2010,7,0.09999999999999998,0.10000000000000009,0.0,0.09999999999999998,0.0
154377,D044,2010,11,0.0,0.0,0.9168757126567844,0.0,0.0
154375,D044,2010,10,0.42638787506243037,1.0000000000000004,0.0,0.0,0.0
154376,D044,2010,5,0.0,0.0,0.8401264641857573,0.0,0.0
154377,D044,2010,5,0.0,0.0,0.8401264641857573,0.0,0.0
154377,D044,2010,10,0.0,0.0,0.9168757126567844,0.0,0.0
154375,D044,2010,9,0.0,0.0,0.9168757126567844,0.0,0.0
154377,D044,2011,2,0.0,0.0,1.0,0.0,0.0
154377,D044,2011,3,1.0,0.0,0.0,1.0,0.0
