isn_vinculo,cod_cargo,num_ano,num_mes,100,106
172915,W005,2007,9,0.0,0.13401217998105774
175970,W005,2007,10,0.0,0.11096198295195239
296900,W005,2007,7,0.0,0.3502308896489791
12898,W005,2007,8,0.0,0.15236606682795412
175502,W005,2007,7,0.0,0.12498319241131238
312125,W005,2007,7,0.0,0.1332481094529805
296979,W005,2007,7,0.0,0.11216182395461707
264732,W005,2007,5,0.0,0.1089612664824784
20321,W005,2007,8,0.0,0.10490536223420702
20321,W005,2007,3,0.0,0.10440775946254977
177356,W005,2007,10,0.0,0.13711262801984525
127853,W005,2007,10,0.0,0.19432516918003506
20321,W005,2007,9,0.0,0.10490536223420702
305944,W005,2007,5,0.0,0.19118055521476912
320454,W005,2007,10,0.0,0.12182238427300432
167243,W005,2007,10,0.0,0.6755276601382885
331429,W005,2007,5,0.0,0.18947722265025002
175502,W005,2007,9,0.0,0.12498319241131238
175970,W005,2007,12,0.0,0.11096198295195239
331390,W005,2007,12,0.0,0.11112392468237339
296979,W005,2007,6,0.0,0.11141541979713118
296979,W005,2007,8,0.0,0.11216182395461707
20321,W005,2007,11,0.0,0.10490536223420702
175043,W005,2007,7,0.0,0.11760453829431193
296999,W005,2007,11,0.0,0.13474091776795225
172915,W005,2007,5,0.0,0.13251642727098742
296999,W005,2007,3,0.0,0.13322013769954413
175041,W005,2007,4,0.0,0.1
264732,W005,2007,8,0.0,0.10962081098455666
167040,W005,2007,8,0.0,0.5272538117648213
175041,W005,2007,12,0.0,0.1003415498314334
305944,W005,2007,6,0.0,0.19118055521476912
127853,W005,2007,11,0.0,0.19432516918003506
218731,W005,2007,7,0.0,0.1340960952413668
173352,W005,2007,6,0.0,0.13244723398617117
167040,W005,2007,10,0.0,0.3235885305996261
331355,W005,2007,8,0.0,0.2596068251078385
177065,W005,2007,3,0.0,0.15575359338885156
296900,W005,2007,3,0.0,0.3413226222782748
127853,W005,2007,4,0.0,0.19076245111077306
331355,W005,2007,11,0.0,0.2596068251078385
167321,W005,2007,11,0.0,0.1929943025954843
296979,W005,2007,5,0.0,0.11141541979713118
175502,W005,2007,8,0.0,0.12498319241131238
320454,W005,2007,5,0.0,0.12074473566693004
175043,W005,2007,8,0.0,0.11760453829431193
177356,W005,2007,11,0.0,0.13711262801984525
175043,W005,2007,5,0.0,0.11667116504806727
296900,W005,2007,4,0.0,0.3413226222782748
175043,W005,2007,6,0.0,0.11667116504806727
218731,W005,2007,8,0.0,0.1340960952413668
167243,W005,2007,12,0.5710716840123196,0.6755276601382885
175043,W005,2007,10,0.0,0.11760453829431193
12898,W005,2007,5,0.0,0.15024168576434044
175041,W005,2007,7,0.0,0.1003415498314334
167321,W005,2007,9,0.0,0.1929943025954843
175043,W005,2007,9,0.0,0.11760453829431193
177065,W005,2007,11,0.0,0.15807377672651968
177356,W005,2007,5,0.0,0.1355108770862266
173352,W005,2007,9,0.0,0.13394004230114293
264732,W005,2007,3,0.0,0.1089612664824784
331390,W005,2007,9,0.0,0.11112392468237339
296900,W005,2007,6,0.0,0.3413226222782748
312118,W005,2007,10,0.0,0.12628755943997608
175043,W005,2007,11,0.0,0.11760453829431193
167321,W005,2007,7,0.0,0.1929943025954843
312118,W005,2007,12,0.0,0.12628755943997608
73309,W005,2007,12,0.0,0.1379753357837244
320454,W005,2007,9,0.0,0.12182238427300432
305944,W005,2007,12,0.0,0.19475799525952392
320454,W005,2007,11,0.0,0.12182238427300432
264732,W005,2007,12,0.0,0.10962081098455666
175970,W005,2007,5,0.0,0.11025680032584641
177356,W005,2007,12,0.0,0.13711262801984525
296900,W005,2007,8,0.0,0.3502308896489791
167243,W005,2007,8,0.0,0.6755276601382885
218731,W005,2007,10,0.0,0.1340960952413668
172915,W005,2007,8,0.0,0.13401217998105774
296900,W005,2007,5,0.0,0.3413226222782748
20321,W005,2007,5,0.0,0.10440775946254977
127853,W005,2007,8,0.0,0.19432516918003506
73309,W005,2007,11,0.0,0.1379753357837244
331429,W005,2007,4,0.0,0.18947722265025002
331390,W005,2007,6,0.0,0.11041285326607028
167040,W005,2007,4,0.0,0.5122771460959775
173352,W005,2007,8,0.0,0.13394004230114293
264732,W005,2007,10,0.0,0.10962081098455666
296979,W005,2007,10,0.0,0.11216182395461707
141000,W005,2007,4,0.0,0.10696496660565227
312125,W005,2007,4,0.0,0.13177885629879724
296900,W005,2007,9,0.0,0.3502308896489791
175970,W005,2007,9,0.0,0.11096198295195239
73309,W005,2007,9,0.0,0.1379753357837244
331429,W005,2007,6,0.0,0.18947722265025002
177065,W005,2007,4,0.0,0.15575359338885156
331390,W005,2007,8,0.0,0.11112392468237339
12898,W005,2007,3,0.0,0.15024168576434044
320454,W005,2007,7,0.0,0.12182238427300432
175041,W005,2007,3,0.0,0.1
312118,W005,2007,3,0.0,0.12505680228877647
305944,W005,2007,8,0.0,0.19475799525952392
173352,W005,2007,11,0.0,0.13394004230114293
127853,W005,2007,9,0.0,0.19432516918003506
167243,W005,2007,4,0.0,0.6554674963317746
177356,W005,2007,3,0.0,0.1355108770862266
296979,W005,2007,12,0.0,0.11216182395461707
312118,W005,2007,6,0.0,0.12505680228877647
296999,W005,2007,7,0.0,0.13474091776795225
20321,W005,2007,4,0.0,0.10440775946254977
331429,W005,2007,9,0.0,0.1929943025954843
320454,W005,2007,4,0.0,0.12074473566693004
73309,W005,2007,10,0.0,0.1379753357837244
331429,W005,2007,8,0.0,0.1929943025954843
12898,W005,2007,7,0.0,0.15236606682795412
175502,W005,2007,5,0.0,0.12379660118659123
127853,W005,2007,5,0.0,0.19076245111077306
264732,W005,2007,6,0.0,0.1089612664824784
218731,W005,2007,5,0.0,0.13259739813619792
264732,W005,2007,11,0.0,0.10962081098455666
305944,W005,2007,11,0.0,0.19475799525952392
175970,W005,2007,11,0.0,0.11096198295195239
167243,W005,2007,5,0.0,0.6554674963317746
175970,W005,2007,8,0.0,0.11096198295195239
175502,W005,2007,11,0.0,0.12498319241131238
331429,W005,2007,11,0.0,0.1929943025954843
312125,W005,2007,5,0.0,0.13177885629879724
167321,W005,2007,3,0.0,0.18947722265025002
331390,W005,2007,3,0.0,0.11041285326607028
167243,W005,2007,7,0.0,0.6755276601382885
141000,W005,2007,7,0.0,0.10755384562536499
312118,W005,2007,7,0.0,0.12628755943997608
177356,W005,2007,9,0.0,0.13711262801984525
141000,W005,2007,3,0.0,0.10696496660565227
175502,W005,2007,6,0.0,0.12379660118659123
312118,W005,2007,8,0.0,0.12628755943997608
177356,W005,2007,6,0.0,0.1355108770862266
73309,W005,2007,6,0.0,0.13634414089912011
312125,W005,2007,3,0.0,0.13177885629879724
312118,W005,2007,9,0.0,0.12628755943997608
172915,W005,2007,4,0.0,0.13251642727098742
127853,W005,2007,12,0.0,0.19432516918003506
296999,W005,2007,5,0.0,0.13322013769954413
331355,W005,2007,7,0.0,0.2596068251078385
141000,W005,2007,10,0.0,0.10816333541076767
173352,W005,2007,7,0.0,0.13394004230114293
312125,W005,2007,6,0.0,0.13177885629879724
331355,W005,2007,3,0.0,0.2538048945661189
296999,W005,2007,4,0.0,0.13322013769954413
218731,W005,2007,4,0.0,0.13259739813619792
141000,W005,2007,6,0.0,0.10696496660565227
177065,W005,2007,8,0.0,0.15807377672651968
296979,W005,2007,3,0.0,0.11141541979713118
305944,W005,2007,4,0.0,0.19118055521476912
12898,W005,2007,6,0.0,0.15024168576434044
175041,W005,2007,8,0.0,0.1003415498314334
167040,W005,2007,6,0.0,0.5122771460959775
