isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
305874;2008;7;1274.22;191.13;0.0;488.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08738736550433607;1;0.0004940259476011732;0
131976;2008;8;2086.09;208.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18370666997739837;1;0.016644634581046147;0
305874;2008;8;1274.22;191.13;0.0;0.0;0.0;0.0;0.0;0.0;119.02;0.0;0.0;0.0;16.1;0.0;0.0;-1;-0.005053411970963095;1;0.0003812303718873089;1
131976;2008;9;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1920.14;0.0;0.0;0.0;0.0;0.0;-1;-0.019298941387618118;-1;-0.0004166857829950299;2
305874;2008;9;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;119.02;1273.35;0.0;0.0;0.0;0.0;0.0;1;0.026944534061956182;-1;-0.0003647462152550629;1
131976;2008;10;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17379599467611512;1;0.0002883732460210453;0
305874;2008;10;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18389762714152802;1;0.061763973785254445;0
131976;2008;11;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17379599467611512;1;0.0002883732460210453;0
305874;2008;11;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;119.02;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17749894175748732;1;0.03681049364799316;0
131976;2008;12;2190.4;219.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17379599467611512;1;0.0002883732460210453;0
305874;2008;12;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;91.97;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18067433770823627;1;0.09242513542109632;0
305874;2009;1;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;91.97;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18067433770823627;1;0.09242513542109632;0
305874;2009;2;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;113.61;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18119660391742226;1;0.04970689965991004;0
305874;2009;3;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18389762714152802;1;0.061763973785254445;0
305874;2009;4;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;108.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18389762714152802;1;0.061763973785254445;0
305874;2009;5;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;102.79;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18638454639061192;1;0.07293290702436228;0
131976;2009;6;1386.52;219.04;5476.0;0.0;0.0;1095.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.10726304273692644;1;0.0005185604665932653;1
305874;2009;6;1337.9;200.69;0.0;0.0;0.0;0.0;0.0;0.0;124.43;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1627735326699259;1;0.023126023954462283;0
131976;2009;7;0.0;0.0;5476.0;0.0;0.0;0.0;0.0;1204.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.13633575560778222;-1;-0.0003196586141197555;2
305874;2009;7;1418.17;212.73;0.0;0.0;0.0;0.0;0.0;0.0;120.96;0.0;0.0;0.0;8.05;0.0;0.0;1;0.06851885873598695;1;0.0003055800320884705;0
305874;2009;8;1418.17;212.73;0.0;543.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08521971182927518;1;0.0003254577368441147;0
305874;2009;9;1418.17;212.73;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17273744187517887;1;0.04338486263209196;0
305874;2009;10;1489.1;223.37;0.0;0.0;1573.08;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.005940109222929979;-1;-0.00019760919691635959;2
305874;2009;11;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15998236941153382;1;0.01179504479495519;0
