isn_vinculo;num_ano;num_mes;207;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
296926;2007;3;634.74;1;0.011028211979123848;-1;-0.00020202781514200296;1
296926;2007;4;634.74;1;0.011028211979123848;-1;-0.00020202781514200296;1
296926;2007;5;634.74;1;0.011028211979123848;-1;-0.00020202781514200296;1
296926;2007;6;634.74;1;0.011028211979123848;-1;-0.00020202781514200296;1
296926;2007;7;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2007;8;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2007;9;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2007;10;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2007;11;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2007;12;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;1;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;2;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;3;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;4;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;5;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;6;657.28;1;0.15100784488769048;1;0.059475900645022506;0
296926;2008;7;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2008;8;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2008;9;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2008;10;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2008;11;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2008;12;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;1;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;2;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;3;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;4;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;5;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;6;697.57;1;0.1602618604656023;1;0.019982121648509876;0
296926;2009;7;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2009;8;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2009;9;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2009;10;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2009;11;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2009;12;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;1;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;2;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;3;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;4;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;5;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;6;739.43;1;0.17197606645085062;-1;-0.00020202082901943363;1
296926;2010;7;775.21;1;0.10805576446146081;1;0.012842894218531464;0
296926;2010;8;775.21;1;0.10805576446146081;1;0.012842894218531464;0
296926;2010;9;775.21;1;0.10805576446146081;1;0.012842894218531464;0
296926;2010;10;775.21;1;0.10805576446146081;1;0.012842894218531464;0
