isn_vinculo;num_ano;num_mes;15;39;97;188;207;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
320541;2008;9;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2008;10;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2008;10;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2008;11;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2008;11;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2008;12;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2008;12;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;1;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;1;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;2;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;2;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;3;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;3;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;4;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;4;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;5;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;5;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;6;414.2;1104.22;0.0;0.0;1491.1;0.0;0.0;1;0.0988887756541324;1;0.3119952102028991;0
320541;2009;6;473.04;0.0;0.0;170.29;1702.93;0.0;0.0;1;0.1062891514268679;1;0.25573636780441866;0
305943;2009;7;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;7;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2009;8;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;8;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2009;9;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;9;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2009;10;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;10;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2009;11;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;11;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2009;12;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2009;12;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;1;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;1;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;2;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;2;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;3;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;3;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;4;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;4;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;5;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;5;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;6;439.05;1170.47;0.0;0.0;1580.57;0.0;0.0;1;0.11121609638729507;1;0.44567729857434646;0
320541;2010;6;501.42;0.0;0.0;180.51;1805.1;0.0;0.0;1;0.11651458246819019;1;0.3749645646636006;0
305943;2010;7;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1;0.07095629997004493;1;0.5088648158158602;0
320541;2010;7;525.69;0.0;0.0;189.25;1892.47;0.0;0.0;1;0.07824222491202393;1;0.4486908356535597;0
305943;2010;8;460.3;1227.12;0.0;0.0;1657.07;0.0;0.0;1;0.07095629997004493;1;0.5088648158158602;0
