isn_vinculo;num_ano;num_mes;8;10;11;15;19;21;39;51;52;54;86;94;97;102;140;165;207;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
198100;2007;9;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2007;9;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2007;9;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2007;10;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2007;10;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2007;10;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2007;10;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2007;11;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2007;11;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2007;11;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2007;11;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2007;12;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2007;12;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2007;12;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2007;12;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
