isn_vinculo;num_ano;num_mes;8;15;21;51;54;79;86;160;161;185;199;207;312;324;371;1232;1233;1352;1367;1369;1404;1454;1455;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
320492;2007;3;406.54;40.65;0.0;0.0;152.22;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;15.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.035172856250884454;1;0.13640836518614763;0
320492;2007;4;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1060168877919963;1;0.15424515147403528;0
320492;2007;5;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1060168877919963;1;0.15424515147403528;0
320492;2007;6;406.54;40.65;0.0;0.0;0.0;0.0;0.0;9.46;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1060168877919963;1;0.15424515147403528;0
320492;2007;7;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10543737285124327;1;0.16370915269128328;0
320492;2007;8;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;380.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.006790634576806842;1;0.0003746610418440266;1
320492;2007;9;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10543737285124327;1;0.16370915269128328;0
320492;2007;10;420.97;42.1;0.0;0.0;0.0;0.0;0.0;29.03;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10543737285124327;1;0.16370915269128328;0
320492;2007;11;442.02;44.2;0.0;0.0;0.0;0.0;225.48;7.98;0.0;0.0;225.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.12069916383454105;-1;-0.07050438834464146;2
320492;2007;12;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11984174629336924;1;0.15825061713048183;0
320492;2008;1;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11984174629336924;1;0.15825061713048183;0
320492;2008;2;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;16.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11984174629336924;1;0.15825061713048183;0
320492;2008;3;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11822781695447587;1;0.15874567274465523;0
320492;2008;4;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11822781695447587;1;0.15874567274465523;0
320492;2008;5;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11822781695447587;1;0.15874567274465523;0
329639;2008;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.58;0.0;0.0;0.0;258.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05243661618313311;1;0.0746888971200319;0
320492;2008;6;442.02;44.2;0.0;0.0;0.0;0.0;0.0;7.98;0.0;0.0;0.0;0.0;0.0;0.0;17.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11822781695447587;1;0.15874567274465523;0
329639;2008;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.58;0.0;0.0;0.0;258.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05243661618313311;1;0.0746888971200319;0
320492;2008;7;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12814996079579605;1;0.08551326569380224;0
329639;2008;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
320492;2008;8;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;415.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0027260509006158395;1;0.000252491532060084;0
329639;2008;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
320492;2008;9;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12814996079579605;1;0.08551326569380224;0
329639;2008;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
320492;2008;10;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12814996079579605;1;0.08551326569380224;0
329639;2008;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
320492;2008;11;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12814996079579605;1;0.08551326569380224;0
329639;2008;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
320492;2008;12;469.12;46.91;0.0;0.0;0.0;0.0;0.0;30.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12814996079579605;1;0.08551326569380224;0
329639;2008;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;225.74;0.0;0.0;0.0;274.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10622567141276235;1;0.08012470636267244;0
