isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
14097;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21013405675957592;1;2.7004232691160652;0
14184;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.22387306827356224;1;2.035671892816886;0
17170;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;739.95;0.0;0.0;0.0;0.0;1;0.2336450148147215;1;1.1792128133905564;0
17695;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1;0.23178692821120572;1;1.4170882527491244;0
18427;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463.7;0.0;0.0;0.0;0.0;1;0.23053377128290986;1;0.6767645359937049;0
18687;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;733.33;733.33;0.0;0.0;0.0;1;0.10093187635082529;1;3.1294239659332277;0
130706;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2596.92;0.0;0.0;0.0;0.0;1;0.19026519434189187;1;3.429047676450601;0
130920;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.22;0.0;0.0;0.0;0.0;1;0.22555440589212328;1;0.48687270638002644;0
140996;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;808.67;0.0;0.0;0.0;0.0;1;0.23319385965566275;1;1.2972874953092344;0
140998;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.9;0.0;0.0;0.0;0.0;1;0.2098232411100403;1;2.85220962247989;0
167223;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.2222275858629459;1;0.2999560549146878;0
167224;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.2222275858629459;1;0.2999560549146878;0
167298;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.21;0.0;0.0;0.0;0.0;1;0.224090411074649;1;0.4692166287763584;0
167426;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3366.83;0.0;0.0;0.0;0.0;1;0.19068457436886055;1;3.8268657837406224;0
296906;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.28;0.0;0.0;0.0;0.0;1;0.2305528775281006;1;0.6911457451372343;0
296991;2007;3;0.0;0.0;0.0;0.0;0.0;528.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06877579443909282;1;3.06482553421975;0
297006;2007;3;0.0;0.0;0.0;0.0;0.0;850.3;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07208728307427181;1;2.9439922646958223;0
297083;2007;3;0.0;0.0;0.0;0.0;0.0;826.29;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06654380936308629;1;2.9642450970231593;0
297612;2007;3;0.0;0.0;0.0;0.0;0.0;150.16;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11801154684277165;1;1.6127629152628131;0
14097;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.21013405675957592;1;2.7004232691160652;0
14184;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.22387306827356224;1;2.035671892816886;0
17170;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;394.64;0.0;0.0;0.0;0.0;1;0.22639720075882414;1;0.5441943712738606;0
17695;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1;0.23178692821120572;1;1.4170882527491244;0
18427;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463.7;0.0;0.0;0.0;0.0;1;0.23053377128290986;1;0.6767645359937049;0
18687;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;733.33;0.0;0.0;0.0;0.0;1;0.2336450148147215;1;1.1676930301585315;0
130706;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2596.92;0.0;0.0;0.0;0.0;1;0.19026519434189187;1;3.429047676450601;0
130920;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.22;0.0;0.0;0.0;0.0;1;0.22555440589212328;1;0.48687270638002644;0
140996;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;808.67;0.0;0.0;0.0;0.0;1;0.23319385965566275;1;1.2972874953092344;0
140998;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.9;0.0;0.0;0.0;0.0;1;0.2098232411100403;1;2.85220962247989;0
167223;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.2222275858629459;1;0.2999560549146878;0
167224;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.2222275858629459;1;0.2999560549146878;0
167298;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.21;0.0;0.0;0.0;0.0;1;0.224090411074649;1;0.4692166287763584;0
167426;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3366.83;0.0;0.0;0.0;0.0;1;0.19068457436886055;1;3.8268657837406224;0
296906;2007;4;0.0;40.09;0.0;0.0;0.0;0.0;0.0;471.28;0.0;0.0;0.0;0.0;1;0.15472072990601915;1;0.5633870698722916;0
296991;2007;4;0.0;0.0;0.0;0.0;0.0;528.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06877579443909282;1;3.06482553421975;0
297006;2007;4;0.0;0.0;0.0;0.0;0.0;850.3;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07208728307427181;1;2.9439922646958223;0
