isn_vinculo;num_ano;num_mes;44;102;185;226;227;312;324;371;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
154386;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154387;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154388;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154389;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154390;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154391;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154392;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154393;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154394;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154395;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154396;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154397;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154398;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154399;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154401;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154402;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154403;2010;3;0.0;0.0;115.2;332.93;0.0;0.0;0.0;0.0;1;0.17558648178977154;-1;-0.00018779734615703703;1
154386;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154387;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154388;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154389;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154390;2010;4;0.0;0.0;0.0;0.0;395.35;66.36;0.0;0.0;-1;-0.11482622471788495;1;0.00023538450862459204;1
154391;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154392;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154393;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154394;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154395;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154396;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154397;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154398;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154399;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154401;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154402;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154403;2010;4;0.0;0.0;120.96;624.24;0.0;0.0;0.0;0.0;1;0.18615272643390818;-1;-4.840261535210555e-05;1
154387;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154388;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154389;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154391;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154392;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154393;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154394;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154395;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154396;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154397;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154398;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154399;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154401;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154402;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154403;2010;5;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154387;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154388;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154389;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154391;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154392;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154393;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154394;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154395;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154396;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154397;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
154398;2010;6;0.0;0.0;0.0;624.24;0.0;0.0;0.0;0.0;1;0.28719638176115364;1;0.010212620582062293;0
