isn_vinculo;num_ano;num_mes;44;102;185;226;227;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
154365;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154366;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154367;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154368;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154369;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154370;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154371;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154372;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154373;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154374;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.17324591342940632;-1;-0.0004893877652493162;1
154365;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154366;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154367;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154368;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154369;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154370;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154371;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154372;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154373;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154374;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.18698791307807794;1;0.00023071850737366173;0
154365;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154366;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154367;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154368;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154369;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154370;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
154371;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.2678376635770291;1;0.003929283850812149;0
