isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
297608;2007;12;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;1;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;1;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;1;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;2;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;2;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;2;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;3;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;3;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;3;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;4;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;4;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;4;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;5;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;5;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;5;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;6;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.14453146538174083;1;0.49907441419409615;0
297175;2008;6;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11560450248328763;1;0.6677019301051867;0
297608;2008;6;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13512170358925352;1;0.29881324541347576;0
297091;2008;7;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;7;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;7;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2008;8;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;8;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;8;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;116.76;0.0;0.0;0.0;0.0;-1;-0.019854991036932557;1;0.03390340891023946;1
297091;2008;9;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;9;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;9;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2008;10;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;10;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;10;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2008;11;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;11;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;11;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2008;12;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2008;12;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2008;12;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;1;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;1;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;1;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;2;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;2;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;2;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;3;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;3;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;3;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;4;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;4;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;4;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;5;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;5;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;5;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;6;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.15397760652188958;1;0.4863425181363805;0
297175;2009;6;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1262325272594122;1;0.6597437515585867;0
297608;2009;6;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13695160730786526;1;0.2726669843004288;0
297091;2009;7;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.15881035375021896;1;0.46528048538869804;0
297175;2009;7;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1286764733170354;1;0.642682913354407;0
297608;2009;7;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13886941226133798;1;0.23773483170952536;0
297091;2009;8;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.15881035375021896;1;0.46528048538869804;0
297175;2009;8;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1286764733170354;1;0.642682913354407;0
297608;2009;8;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;121.98;0.0;0.0;0.0;0.0;-1;-0.028375563344576915;1;0.04897020706740696;1
297091;2009;9;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.15881035375021896;1;0.46528048538869804;0
297175;2009;9;0.0;4532.17;2266.09;1124.52;1588.45;0.0;0.0;0.0;1819.2;0.0;0.0;0.0;0.0;0.0;1;0.1286764733170354;1;0.642682913354407;0
297608;2009;9;1116.84;0.0;111.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13886941226133798;1;0.23773483170952536;0
297091;2009;10;0.0;4055.51;1013.88;0.0;0.0;0.0;0.0;0.0;4055.51;0.0;0.0;0.0;0.0;0.0;1;0.15881035375021896;1;0.46528048538869804;0
