isn_vinculo;num_ano;num_mes;15;97;207;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
296897;2007;3;659.22;0.0;2197.41;0.0;0.0;-1;-0.02321075464265321;1;1.7944561449212415e-05;1
331445;2007;3;697.0;0.0;2090.99;0.0;0.0;-1;-0.027465754511640128;1;0.00010109045675932293;1
296897;2007;4;659.22;0.0;2197.41;0.0;0.0;-1;-0.02321075464265321;1;1.7944561449212415e-05;1
331445;2007;4;697.0;0.0;2090.99;0.0;0.0;-1;-0.027465754511640128;1;0.00010109045675932293;1
296897;2007;5;659.22;0.0;2197.41;0.0;0.0;-1;-0.02321075464265321;1;1.7944561449212415e-05;1
331445;2007;5;697.0;0.0;2090.99;0.0;0.0;-1;-0.027465754511640128;1;0.00010109045675932293;1
296897;2007;6;659.22;0.0;2197.41;0.0;0.0;-1;-0.02321075464265321;1;1.7944561449212415e-05;1
331445;2007;6;697.0;0.0;2090.99;0.0;0.0;-1;-0.027465754511640128;1;0.00010109045675932293;1
296897;2007;7;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;7;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2007;8;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;8;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2007;9;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;9;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2007;10;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;10;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2007;11;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;11;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2007;12;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2007;12;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;1;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;1;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;2;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;2;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;3;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;3;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;4;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;4;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;5;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;5;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;6;682.63;0.0;2275.42;0.0;0.0;1;0.08096292252991971;1;0.12324289371146513;0
331445;2008;6;721.74;0.0;2165.22;0.0;0.0;1;0.08276027040861456;1;0.10940448653722612;0
296897;2008;7;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;7;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2008;8;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;8;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2008;9;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;9;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2008;10;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;10;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2008;11;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;11;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2008;12;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2008;12;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;1;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;1;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;2;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;2;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;3;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;3;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;4;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;4;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;5;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;5;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;6;724.47;0.0;2414.9;0.0;0.0;1;0.10057062842063841;1;0.21573148250963836;0
331445;2009;6;765.98;0.0;2297.95;0.0;0.0;1;0.10646309825296246;1;0.18155156631828984;0
296897;2009;7;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;7;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2009;8;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;8;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2009;9;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;9;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2009;10;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;10;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2009;11;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;11;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2009;12;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2009;12;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;1;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;1;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;2;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;2;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;3;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;3;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;4;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;4;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;5;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;5;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;6;767.94;0.0;2559.79;0.0;0.0;1;0.11594157280329664;1;0.1845611509122671;0
331445;2010;6;811.94;0.0;2435.83;0.0;0.0;1;0.11719260046749164;1;0.13920217486281672;0
296897;2010;7;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;7;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2010;8;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;8;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2010;9;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;9;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2010;10;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;10;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2010;11;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;11;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2010;12;805.1;0.0;2683.68;0.0;0.0;1;0.09859781878397594;1;0.11106201343922262;0
331445;2010;12;851.24;0.0;2553.72;0.0;0.0;1;0.09728032191622349;1;0.06497486315572853;0
296897;2011;1;845.36;0.0;2817.86;0.0;0.0;1;0.12431938990630242;1;0.040475035700586304;0
331445;2011;1;893.8;0.0;2681.41;0.0;0.0;1;0.12062115109841165;-1;-0.0002500396230908919;1
296897;2011;2;845.36;0.0;2817.86;0.0;0.0;1;0.12431938990630242;1;0.040475035700586304;0
331445;2011;2;893.8;0.0;2681.41;0.0;0.0;1;0.12062115109841165;-1;-0.0002500396230908919;1
296897;2011;3;845.36;0.0;2817.86;0.0;0.0;1;0.12431938990630242;1;0.040475035700586304;0
331445;2011;3;893.8;0.0;2681.41;0.0;0.0;1;0.12062115109841165;-1;-0.0002500396230908919;1
