isn_vinculo;num_ano;num_mes;15;160;207;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
296953;2007;3;191.65;0.0;689.92;0.0;0.0;-1;-0.036789792398844945;-1;-0.0004065969890900689;2
297604;2007;3;60.07;0.0;540.59;0.0;0.0;-1;-0.08329977536199318;-1;-0.1245562409286185;2
296953;2007;4;191.65;0.0;689.92;0.0;0.0;-1;-0.036789792398844945;-1;-0.0004065969890900689;2
297604;2007;4;60.07;0.0;540.59;0.0;0.0;-1;-0.08329977536199318;-1;-0.1245562409286185;2
296953;2007;5;191.65;0.0;689.92;0.0;0.0;-1;-0.036789792398844945;-1;-0.0004065969890900689;2
297604;2007;5;60.07;0.0;540.59;0.0;0.0;-1;-0.08329977536199318;-1;-0.1245562409286185;2
296953;2007;6;191.65;0.0;689.92;0.0;0.0;-1;-0.036789792398844945;-1;-0.0004065969890900689;2
297604;2007;6;60.07;0.0;540.59;0.0;0.0;-1;-0.08329977536199318;-1;-0.1245562409286185;2
296953;2007;7;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;7;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
296953;2007;8;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;8;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
296953;2007;9;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;9;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
296953;2007;10;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;10;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
296953;2007;11;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;11;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
296953;2007;12;198.45;0.0;714.41;0.0;0.0;1;0.05002927508223848;1;0.006783273775710086;0
297604;2007;12;62.2;0.0;559.77;0.0;0.0;1;0.024344853878460415;1;0.025065120826901044;0
