isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
320529;2008;6;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;7;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;8;2642.64;396.4;0.0;0.0;0.0;77.16;-1;-0.04027331366202247;-1;-0.0003114987571475325;2
320529;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;9;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;9;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;9;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;10;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;10;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;10;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;11;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;12;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2009;1;2642.64;396.4;1013.01;0.0;0.0;0.0;-1;-0.014097938362456985;-1;-0.10321665659599599;2
320529;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
